Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	25/64	0.000000000000000000000000003853555388532404249465163556036594205841765781824414518035271690231586584618472812735490151681005954742431640625	0.000000000000000000000001482334306122131331015950454946705136907106833795396064126964730364895139747005714525585062801837921142578125	0.00000000000000013779047673490074825259278461063844864279502697330948013387796891038306057453155517578125	0.0000000000000530034033840251572226413217028914169601564419787020909780039801262319087982177734375	-1.8073044229926114	109.92170321958123	beat-IIIb;beat-IIIc;beat-Vc;kirre;rst;fz;CadN2;beat-VII;Fas1;Fas3;ed;beat-VI;Con;klg;beat-Ia;beat-IIa;beat-IV;beat-IIb;CadN;stan;beat-Ib;beat-Ic;CG34353;kug;Dscam3
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	14/28	0.000000000000000012667294592057291974162548471745958114845760934526024132917854103652643971145153045654296875	0.00000000000000182725724490426437112480750582382616417845689997523361824960375088267028331756591796875	0.0000000000610948213786454701462719747432814597354333585599306388758122920989990234375	0.000000008812927983869608583923592188928697321870231462526135146617889404296875	-2.4532783721723326	95.45094845824427	Con;klg;kirre;rst;fz;CadN;CadN2;stan;Fas1;Fas3;CG34353;kug;Dscam3;ed
synaptic target attraction (GO:0016200)	6/7	0.000000000256889896021487640771412531051740187060250519834880833514034748077392578125	0.000000015602681053094567931576947049203407669182297468069009482860565185546875	0.00000235158834408053941714112321237362124293213128112256526947021484375	0.0001696083093168088942910565197763617106829769909381866455078125	-3.995017112639247	88.21946019190251	NetB;Ten-m;Sema2b;Con;Fas3;Ten-a
axon guidance (GO:0007411)	49/242	0.000000000000000000000000000000000000942971252229378486114460446445396405581584825118927925272175786836172883373596373596903802579392850358175337532884441316127777099609375	0.00000000000000000000000000000000108818882507270270147963136023175391778179839188510256745757431519889083693130229984016334177088225487750605680048465728759765625	0.00000000000000000000506654549630764737178051278713548042412818337107310962355057049055773177315131761133670806884765625	0.000000000000000005846793502739024883469513931945927165046025957592483457414545000574435107409954071044921875	-1.0630856458451308	88.18484962387785	Alk;jeb;dysc;lola;haf;tutl;Sema2b;CadN2;Fas1;fend;Fas3;ab;beat-VI;Mmp2;beat-Ia;InR;beat-IIa;beat-IV;vvl;beat-IIb;Cam;trn;Sema1a;Pka-R2;dpr11;beat-Ib;beat-Ic;DIP-gamma;NetB;beat-IIIc;beat-Vc;Ptp99A;kuz;Ten-m;pros;sm;Ten-a;fz2;Moe;Trim9;side;pdm3;mirr;dally;spen;SoxN;CadN;stan;Lar
motor neuron axon guidance (GO:0008045)	23/75	0.0000000000000000000003089272548184347367137805903187331531301540704510970379408074659721705756965093314647674560546875	0.0000000000000000000713004104120947288075970535514067546225360606510561777525436522040536146960221230983734130859375	0.000000000000165673576078073805895632984169743272544368661858271707387757487595081329345703125	0.00000000004779682669852429618157728578409053354913993416630546562373638153076171875	-1.558583179949346	77.19496720001607	NetB;beat-VI;side;beat-IIIc;Mmp2;beat-Ia;beat-IIa;beat-IV;beat-Vc;haf;vvl;beat-IIb;Ptp99A;trn;dally;Ten-m;Sema1a;beat-Ib;beat-Ic;fend;Lar;Ten-a;fz2
chemical synaptic transmission (GO:0007268)	37/154	0.00000000000000000000000000000083748835498678726924564407153930947184124735119547869175830792201169146642667807933779755558134638704359531402587890625	0.00000000000000000000000000048323078082737621371708116385848650846424180623222339801694735658178859517321301897396779168047942221164703369140625	0.00000000000000000416990557413919404424527167649267617939985633757657250419992323031692649237811565399169921875	0.00000000000000240603551627831513994470466320707829544129664756102471301346668042242527008056640625	-1.1014258127195864	76.27913529898935	nwk;cac;pum;kcc;Ten-m;5-HT7;5-HT1A;dnc;GluClalpha;5-HT1B;Rdl;Ten-a;Dys;nAChRbeta1;Oamb;Ace;Syt1;Atpalpha;VGlut;cv-c;stj;nAChRalpha5;CASK;nAChRalpha7;cpx;nAChRalpha6;Slob;Frq2;Frq1;Nlg4;Shab;sesB;Cadps;Rim;Nrx-1;Sap47;mAChR-B
anterograde trans-synaptic signaling (GO:0098916)	24/89	0.00000000000000000000116548406715174344945699853809742782945083301841577463520854308909324714704780490137636661529541015625	0.000000000000000000224161435582185326392135224888605972506009803845729820570564783110967255197465419769287109375	0.00000000000051012574479505014597663247651542929432012807300367285279207862913608551025390625	0.000000000117737021898697567148278883314600762322044147367705591022968292236328125	-1.4633920595979597	70.53718082304925	nAChRbeta1;Oamb;Ace;cac;Syt1;Atpalpha;nAChRalpha5;pum;kcc;nAChRalpha7;nAChRalpha6;Frq2;Frq1;Shab;5-HT7;sesB;5-HT1A;dnc;Nrx-1;GluClalpha;5-HT1B;Sap47;Rdl;mAChR-B
modulation of chemical synaptic transmission (GO:0050804)	21/70	0.000000000000000000034935081514990436232646173953080502784447662855813037936607290401269665380823425948619842529296875	0.00000000000000000575929772404270889556468289456194463732367136082966434240670849931120756082236766815185546875	0.00000000000278241592170068535878526367776500979704656923985339744831435382366180419921875	0.00000000053405584300831370776174071576618794521262856278553954325616359710693359375	-1.5359103242139782	68.81000423015739	Tomosyn;Fife;cac;Syt1;cv-c;CASK;pum;cpx;Syp;Slob;qvr;Frq2;Frq1;Nlg4;Nlg3;Shab;Sh;Rim;Nrx-1;Rdl;Dys
regulation of neurotransmitter secretion (GO:0046928)	9/19	0.0000000000172253618127771546378045365374037135863805048074937076307833194732666015625	0.0000000012423792207465522620957808588339210675854928922490216791629791259765625	0.0000002543379358836564415962365470758044239119044505059719085693359375	0.0000209647127149813973143697987122635595369501970708370208740234375	-2.725843537696006	67.55904612825132	Fife;cac;Rim;CASK;cpx;Frq2;Frq1;Dys;Ih
presynaptic membrane organization (GO:0097090)	6/12	0.000000031360802011810532885440101769081167049080249853432178497314453125	0.000001064422515342039701988240997521106834255988360382616519927978515625	0.00002195047516271968202072883968867245130240917205810546875	0.000938179568065870849759291250080650570453144609928131103515625	-3.906540695451278	67.49606578302107	Ten-m;Nrx-1;Nlg4;Ten-a;Nlg3;Fur1
