Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
integral component of plasma membrane (GO:0005887)	67/419	0.00000000000000000000000000000000000000000025165587499571117976039852422005279055947331101032553024911113870813882312198233070124143162760687447843037747342853638343740385607816278934478759765625	0.0000000000000000000000000000000000000000276821462495282279415881398618856883783296067782672318976319867863836665584493249830492207390198711080739855938670501700471504591405391693115234375	0.0000000000000000000000000017844083293304943148343374265968634460834721184226538238492299837798155982826475707270219572819769382476806640625	0.00000000000000000000000019628491622635436602219935211397889531378737329324721003748592732646681413566369656109600327908992767333984375	-1.0717530612288872	105.12640000548959	Alk;Elk;DIP-delta;GluRIA;GluRIB;tutl;DIP-theta;5-HT7;CadN2;Oamb;dpr3;dpr2;dpr1;CG13579;nAChRalpha5;nAChRalpha7;nAChRalpha6;InR;beat-IIa;TM4SF;TyrR;Nlg4;Nlg3;kek3;DIP-beta;Sema1a;kek1;CG42594;dpr11;kek2;Octbeta1R;kek5;beat-Ib;dpr17;rk;beat-Ic;sdk;DIP-gamma;mAChR-B;kug;dpr9;dpr8;dpr13;Pdfr;eag;Ca-alpha1T;Ten-m;para;fz;Octbeta2R;DopEcR;5-HT1A;GluClalpha;5-HT1B;FMRFaR;Rdl;sNPF-R;fz2;nAChRbeta1;Octbeta3R;Nckx30C;CadN;Dscam4;stan;AstC-R2;Dh44-R1;Dscam3
type I terminal bouton (GO:0061174)	6/19	0.0000008256067836602215474124948253742406478750126552768051624298095703125	0.00003027224873420812404039952070444741138999233953654766082763671875	0.000107243904898440971826083234486048922917689196765422821044921875	0.003932276512942835082486947584357039886526763439178466796875	-2.582630998502193	36.17529262544479	Alk;jeb;Nrx-1;CASK;pum;cpx
acetylcholine-gated channel complex (GO:0005892)	4/11	0.0000335963631193086033799484468875817810840089805424213409423828125	0.00073911998862478934212150161187082630931399762630462646484375	0.001063382995540758206576281708066744613461196422576904296875	0.029243032377370851981890353954440797679126262664794921875	-2.579654892691385	26.57326427997342	nAChRbeta1;nAChRalpha5;nAChRalpha7;nAChRalpha6
type Is terminal bouton (GO:0061177)	3/7	0.0002047032801895150712183368835184182898956350982189178466796875	0.0028146701026058322699097136165846677613444626331329345703125	0.0033093977117520860346810973595665927859954535961151123046875	0.052004821184675635581395880535637843422591686248779296875	-2.973721747843437	25.258640988446228	Alk;jeb;pum
type Ib terminal bouton (GO:0061176)	3/9	0.000477982104019182758337935812420482761808671057224273681640625	0.005842003493567789196294626208327827043831348419189453125	0.005786394632444635983958836078500098665244877338409423828125	0.0795629261961137423941892166112666018307209014892578125	-2.9482449439924365	22.542095884987884	Alk;jeb;pum
axonal growth cone (GO:0044295)	4/15	0.0001310851892292074134284407538331151954480446875095367431640625	0.002059910116458973407260746313340860069729387760162353515625	0.0027307716055318220597925016335238979081623256206512451171875	0.05006414610141673993126687491894699633121490478515625	-2.374177739969486	21.224349245617656	NetB;Trim9;Con;shot
smooth septate junction (GO:0005920)	2/8	0.00878549460499798880175337245646005612798035144805908203125	0.07433880050382914161932745855665416456758975982666015625	0.038971910111783795993556367420751485042273998260498046875	0.442070616747381517352977198243024758994579315185546875	-4.386069287231371	20.76651723993164	cora;Fas3
axon (GO:0030424)	15/132	0.000000021625681956980803754612049916682126049494172548293136060237884521484375	0.00000118941250763394417672516069350852063735146657563745975494384765625	0.000063433377432926059576179245169669229653663933277130126953125	0.003488835758810933385110075732882251031696796417236328125	-1.1193192168336494	19.755294955234707	plum;Shawl;sNPF;futsch;hdc;klg;kcc;InR;Imp;Ptp99A;CadN;pyd;Rdl;CG34353;Lar
dendrite (GO:0030425)	15/191	0.0000026896868838895631216036850863471130423931754194200038909912109375	0.0000739663893069629854205848662473954391316510736942291259765625	0.0023766967282514736385656828332457735086791217327117919921875	0.05006414610141673993126687491894699633121490478515625	-1.0410515235597102	13.3526161333805	plum;Oamb;Shawl;Mmp2;futsch;hdc;nAChRalpha7;5-HT7;CadN;5-HT1A;5-HT1B;Rdl;Cbp53E;ATP8B;mAChR-B
dystrophin-associated glycoprotein complex (GO:0016010)	1/6	0.1054570618655037705924115698508103378117084503173828125	0.322229911255705936401483313602511771023273468017578125	0.2044292595846677051962814175567473284900188446044921875	0.7767817615151131338535606118966825306415557861328125	-5.538219644224326	12.457955962375118	Dys
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	3/21	0.006425376622783870485255963700410575256682932376861572265625	0.0630125609362871819119078509174869395792484283447265625	0.04018823788612559122501721731168800033628940582275390625	0.442070616747381517352977198243024758994579315185546875	-2.104433911569325	10.622130235118336	ATPsynC;ATPsynF;blw
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	2/10	0.013780453505788277379640049957743030972778797149658203125	0.10105665904244735819883516114714439027011394500732421875	0.054816514997126884745082264771554036997258663177490234375	0.54816514997126886132861045552999712526798248291015625	-2.465887857366231	10.56510664366531	ATPsynC;ATPsynF
