Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
voltage-gated cation channel activity (GO:0022843)	10/19	0.00000000000031406431473590457924001477446810160257771593617093230932368896901607513427734375	0.00000000006940821355663491302178522384034556509668778545574241434223949909210205078125	0.0000000046517368488199116042367442687421874580877556581981480121612548828125	0.00000102803384358920055718054908933112301383516751229763031005859375	-2.2654960142004303	65.22176938394362	CG4587;Shab;Shawl;cac;Sh;Elk;stj;NaCP60E;eag;Ca-alpha1T
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	4/6	0.0000016430504429916282483031646222126909151484142057597637176513671875	0.0000330103770819227112175674176963724448796710930764675140380859375	0.0001322285526945289461410448783595938948565162718296051025390625	0.00265659183140826322955252436486262013204395771026611328125	-4.294932738526373	57.204020243070964	Pde6;Pka-R2;Pde1c;Pde11
G-protein coupled amine receptor activity (GO:0008227)	10/23	0.000000000003642620360322358876557880111251606978887973564695812456193380057811737060546875	0.000000000374888164192172703969234599875371728716633157318938174284994602203369140625	0.000000019405927967448853459353085189331711291060855728574097156524658203125	0.00000214435504040309845284230372275402487503015436232089996337890625	-2.1270794367188834	56.023694220052	Oamb;5-HT7;Octbeta1R;Octbeta2R;DopEcR;5-HT1A;5-HT1B;Octbeta3R;mAChR-B;TyrR
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	5/9	0.00000024342244753967425851108618596596588901093127788044512271881103515625	0.0000094052193217343126215024273761855511111207306385040283203125	0.000033572282929332966758435852216990724627976305782794952392578125	0.00123657908789709760667696603064769078628160059452056884765625	-3.3645904885010727	51.23755668877105	Pde6;Pka-R2;Pde1c;Pde11;dnc
serotonin receptor activity (GO:0099589)	5/10	0.000000479491259594010840492197579598698808922563330270349979400634765625	0.00001177417426336404310152454477655936670998926274478435516357421875	0.0000491638538228469481662120943443738951827981509268283843994140625	0.00135815146185614701000721193935305564082227647304534912109375	-3.507163353031593	51.031121254390484	Oamb;5-HT7;5-HT1A;5-HT1B;mAChR-B
G-protein coupled serotonin receptor activity (GO:0004993)	5/10	0.000000479491259594010840492197579598698808922563330270349979400634765625	0.00001177417426336404310152454477655936670998926274478435516357421875	0.0000491638538228469481662120943443738951827981509268283843994140625	0.00135815146185614701000721193935305564082227647304534912109375	-3.145958419701381	45.77539436202179	Oamb;5-HT7;5-HT1A;5-HT1B;mAChR-B
voltage-gated potassium channel activity (GO:0005249)	6/16	0.0000002553453209520627932905038025290789249766021384857594966888427734375	0.0000094052193217343126215024273761855511111207306385040283203125	0.00002998792807323942671555820627116162313541281037032604217529296875	0.00123657908789709760667696603064769078628160059452056884765625	-2.5517579844572005	38.73734231560424	Shab;Shawl;Sh;Elk;slo;eag
neurexin family protein binding (GO:0042043)	4/10	0.00002169433821271205749020745401356435877460171468555927276611328125	0.0002397224372504682472946602178609509792295284569263458251953125	0.000574582075266547574222963934431618326925672590732574462890625	0.007054591035217056514683431345247299759648740291595458984375	-3.380984143137986	36.30656042339125	Nrx-1;CASK;Nlg4;Nlg3
voltage-gated calcium channel activity (GO:0005245)	4/8	0.0000074461874382294209105096101375398376376324449665844440460205078125	0.000096800436696982470989591984533717550220899283885955810546875	0.000297576787268812015772867507479304549633525311946868896484375	0.00438429799909383077771707348802010528743267059326171875	-2.998673697305136	35.407764501348595	CG4587;cac;stj;Ca-alpha1T
potassium channel activity (GO:0005267)	8/33	0.00000011312307227335258975753763503735438433750459807924926280975341796875	0.0000062500497431027307032179625434498149161299807019531726837158203125	0.0000199257015287324472916676010303405064405524171888828277587890625	0.00110089500946246765696046043814249060233123600482940673828125	-2.030713125601901	32.48082892964276	Shab;CG42594;Shawl;Sh;Elk;slo;GluRIA;eag
acetylcholine receptor activity (GO:0015464)	5/14	0.00000358452353208869786886192447539212224683069507591426372528076171875	0.000056584264327971592052450577892130922919022850692272186279296875	0.000172963383809911198062125858854187754332087934017181396484375	0.0029403775247684904754763568490716352243907749652862548828125	-2.5292027321852464	31.71338219731402	nAChRbeta1;nAChRalpha5;nAChRalpha7;nAChRalpha6;mAChR-B
excitatory extracellular ligand-gated ion channel activity (GO:0005231)	4/12	0.0000496636352841036248233382022210236073078704066574573516845703125	0.00047720275642551741347718863295312985428608953952789306640625	0.000997585751317953649264236304361475049518048763275146484375	0.01002120232005762438809437497866383637301623821258544921875	-3.1940636452573115	31.65392956087117	nAChRbeta1;nAChRalpha5;nAChRalpha7;nAChRalpha6
calcium channel regulator activity (GO:0005246)	4/10	0.00002169433821271205749020745401356435877460171468555927276611328125	0.0002397224372504682472946602178609509792295284569263458251953125	0.000574582075266547574222963934431618326925672590732574462890625	0.007054591035217056514683431345247299759648740291595458984375	-2.9390995612615445	31.561400850660522	CG4587;stj;Rgk2;Rgk3
voltage-gated ion channel activity (GO:0005244)	5/14	0.00000358452353208869786886192447539212224683069507591426372528076171875	0.000056584264327971592052450577892130922919022850692272186279296875	0.000172963383809911198062125858854187754332087934017181396484375	0.0029403775247684904754763568490716352243907749652862548828125	-2.496473084669903	31.302988911070553	Shawl;Sh;Elk;NaCP60E;eag
G-protein coupled receptor activity (GO:0004930)	17/102	0.000000000005088979604418634206187892531487621818574174081817318437970243394374847412109375	0.000000000374888164192172703969234599875371728716633157318938174284994602203369140625	0.0000000514618335136021639874233444926499014826504208031110465526580810546875	0.000003791021735502025802474167226474577319095260463654994964599609375	-1.1490423619273102	29.879632975923784	Oamb;CG13579;Pdfr;GABA-B-R3;Octbeta3R;TyrR;5-HT7;Octbeta1R;Octbeta2R;DopEcR;5-HT1A;AstC-R2;5-HT1B;rk;FMRFaR;CG13995;mAChR-B
acetylcholine-gated cation-selective channel activity (GO:0022848)	4/11	0.0000335963631193086033799484468875817810840089805424213409423828125	0.0003535617261603429145079557915920531740994192659854888916015625	0.00076564324669634140248242193393934940104372799396514892578125	0.00805748369142340360726795012169532128609716892242431640625	-2.7006248854277364	27.819387393587167	nAChRbeta1;nAChRalpha5;nAChRalpha7;nAChRalpha6
extracellular ligand-gated ion channel activity (GO:0005230)	7/29	0.00000074264331515286191112983245343759364232028019614517688751220703125	0.0000164124172648782466689583448005151922188815660774707794189453125	0.000068613230106568499238640923554299888564855791628360748291015625	0.00168483598372795996371553695070133471745066344738006591796875	-1.940515768725611	27.386596007433273	nAChRbeta1;nAChRalpha5;GluClalpha;nAChRalpha7;nAChRalpha6;Rdl;GluRIB
AT DNA binding (GO:0003680)	2/6	0.0048226904642728329886125493430881761014461517333984375	0.0266453648151074029559737255112850107252597808837890625	0.021428116984881000195439781919048982672393321990966796875	0.1315448292682972475375891008297912776470184326171875	-4.883444235880783	26.050358809113494	bab1;bab2
G-protein coupled peptide receptor activity (GO:0008528)	8/48	0.00000241672765258111078642160908513947248366093845106661319732666015625	0.0000445080676017021171207189988994201712557696737349033355712890625	0.0002032388986617724466014756057319345927680842578411102294921875	0.0032082711860179796183045741742034806520678102970123291015625	-1.6775040363141038	21.695320981138156	CG13579;Pdfr;AstC-R2;rk;FMRFaR;CG13995;sNPF-R;Dh44-R1
calcium-dependent phospholipid binding (GO:0005544)	3/13	0.00154068853787099786789571709277879563160240650177001953125	0.01064038021467157875410425305062744882889091968536376953125	0.01055994722838319958835295864219006034545600414276123046875	0.08047408060250645089883647642636788077652454376220703125	-3.143990874217434	20.35899420948428	Syt1;Rph;Sytbeta
ligand-gated cation channel activity (GO:0099094)	6/35	0.000038515382699656734049632744731894717915565706789493560791015625	0.000386904526210188142408552547379940733662806451320648193359375	0.0011360175403243746687642623527381147141568362712860107421875	0.0109156468005081226657626558562697027809917926788330078125	-1.9723281263458114	20.047636236744662	nAChRbeta1;nAChRalpha5;GluRIA;nAChRalpha7;nAChRalpha6;GluRIB
calcitonin receptor activity (GO:0004948)	2/6	0.0048226904642728329886125493430881761014461517333984375	0.0266453648151074029559737255112850107252597808837890625	0.021428116984881000195439781919048982672393321990966796875	0.1315448292682972475375891008297912776470184326171875	-3.69120764902518	19.69046415837841	Pdfr;Dh44-R1
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	2/7	0.006669885338000918449663512177494339994154870510101318359375	0.0335010149931409817458671795975533314049243927001953125	0.02702376936823776276686004393923212774097919464111328125	0.14930632575951363616439948600600473582744598388671875	-3.670856545091348	18.39155149998316	Lar;Ptp99A
mRNA 3'-UTR binding (GO:0003730)	6/38	0.0000625311053495846889092868448045692275627516210079193115234375	0.000575807261760759021666788992632746158051304519176483154296875	0.00165806032803918613864613273989334629732184112071990966796875	0.0152679721873608398308164169066003523766994476318359375	-1.8806277627724768	18.20418795337194	heph;shep;Unr;pum;Imp;bol
neuropeptide receptor activity (GO:0008188)	7/45	0.00001676363747777377327728524913919017080843332223594188690185546875	0.00020582021569933353481209048485567336683743633329868316650390625	0.0007395253214426866956998640745268858154304325580596923828125	0.00805748369142340360726795012169532128609716892242431640625	-1.6395027505237452	18.02846155956631	Pdfr;AstC-R2;rk;FMRFaR;CG13995;sNPF-R;Dh44-R1
calcium ion binding (GO:0005509)	11/84	0.00000039418691354937856500951338066529583414876469760201871395111083984375	0.00001177417426336404310152454477655936670998926274478435516357421875	0.00009533777905406875890180484756086798370233736932277679443359375	0.002106964917094919335915914615497968043200671672821044921875	-1.219687948585674	17.98605593347011	Syt1;Cadps;Calx;CadN;CadN2;Cbp53E;kug;Frq1;Sytbeta;Cam;Eip63F-1
diacylglycerol kinase activity (GO:0004143)	2/8	0.00878549460499798880175337245646005612798035144805908203125	0.039754806919429348799344126064170268364250659942626953125	0.03313554561203153892012807091305148787796497344970703125	0.1664308086422493226930185983292176388204097747802734375	-3.6412185277342894	17.239907164869148	Dgk;CG34384
calcitonin family receptor activity (GO:0097642)	2/6	0.0048226904642728329886125493430881761014461517333984375	0.0266453648151074029559737255112850107252597808837890625	0.021428116984881000195439781919048982672393321990966796875	0.1315448292682972475375891008297912776470184326171875	-3.15953802221639	16.854313303104355	Pdfr;Dh44-R1
GABA receptor activity (GO:0016917)	2/7	0.006669885338000918449663512177494339994154870510101318359375	0.0335010149931409817458671795975533314049243927001953125	0.02702376936823776276686004393923212774097919464111328125	0.14930632575951363616439948600600473582744598388671875	-3.3044187777439418	16.5556423635391	GABA-B-R3;Rdl
transmembrane receptor protein phosphatase activity (GO:0019198)	2/7	0.006669885338000918449663512177494339994154870510101318359375	0.0335010149931409817458671795975533314049243927001953125	0.02702376936823776276686004393923212774097919464111328125	0.14930632575951363616439948600600473582744598388671875	-3.257307105159632	16.319605694183743	Lar;Ptp99A
kinesin binding (GO:0019894)	2/9	0.01115906960612070460137079663809345220215618610382080078125	0.044839170599139561990131852553531643934547901153564453125	0.039728605204953075513696347798031638376414775848388671875	0.1756004350058925911337581737825530581176280975341796875	-3.6002502376965166	16.184934643112285	klar;Tm1
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	4/21	0.00052670075969001896309951149532935232855379581451416015625	0.004013823030741179263836126978048923774622380733489990234375	0.005639753968472333532646612042071865289472043514251708984375	0.046162430630829094646561117087912862189114093780517578125	-2.141519747507129	16.166071285217793	nAChRbeta1;nAChRalpha5;nAChRalpha7;nAChRalpha6
calcium channel activity (GO:0005262)	5/32	0.0002745777007582237707293548734099886132753454148769378662109375	0.002247469328428424416299602484059505513869225978851318359375	0.004224436414021269341201314517775244894437491893768310546875	0.0359077095191807915686155183720984496176242828369140625	-1.9068711152794595	15.636869964579509	CG4587;cac;Nckx30C;stj;Ca-alpha1T
PDZ domain binding (GO:0030165)	2/8	0.00878549460499798880175337245646005612798035144805908203125	0.039754806919429348799344126064170268364250659942626953125	0.03313554561203153892012807091305148787796497344970703125	0.1664308086422493226930185983292176388204097747802734375	-3.2514822372084007	15.394640967229636	rst;fz2
metal ion binding (GO:0046872)	11/107	0.000004510378935775848695884267247624421770524349994957447052001953125	0.000062299609050403908735472902069574274719343520700931549072265625	0.00064979128836577769445792540636830381117761135101318359375	0.00755809866993878247398708225546215544454753398895263671875	-1.2028226526551125	14.805699660837146	Syt1;Cadps;Calx;CadN;CadN2;Cbp53E;kug;Frq1;Sytbeta;Cam;Eip63F-1
adrenergic receptor activity (GO:0004935)	2/9	0.01115906960612070460137079663809345220215618610382080078125	0.044839170599139561990131852553531643934547901153564453125	0.039728605204953075513696347798031638376414775848388671875	0.1756004350058925911337581737825530581176280975341796875	-3.1385620988635585	14.109414371140161	DopEcR;TyrR
