Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cytosolic ribosome (GO:0022626)	60/112	0.0000000000000000000000000000000000508155982537306411327505477391901472169354649078050155250816707935730825725843628420813906550190797162258604657836258411407470703125	0.00000000000000000000000000000000691092136250736745063948666138064205099472407400374247767000771801061423421747259392133866384710927377454936504364013671875	0.000000000032640760491299190297920854314731443739094896017149949329905211925506591796875	0.00000000887828685363337903725143638970773718455120615544728934764862060546875	-1.8778120147660389	148.28116282995967	LTV1;RpS23;RpS7;RpS8;RpS6;RpL34b;RpL35A;RpS27;RpS26;RpS25;RpL27A;RpL41;RpL40;RpS13;RpS12;RpS11;RpL39;RpL36;RpL35;Rack1;RpS18;RpS17;RpS15;RpL7A;RpL37a;RpLP1;RpS3;RpLP0;RpS4;RpS28b;RpS2;RpL31;RpL29;RpL28;RpL27;RpL26;RpL24;RpL13A;RpS3A;RpL37A;RpL23;RpS19a;RpL21;RpL4;RpL19;RpL17;RpL3;RpL24-like;RpL15;RpS30;RpL13;RpL8;RpL10Ab;RpL6;RpL7;RpS10b;CG7414;RpS5a;RpL12;RpL11
nucleus (GO:0005634)	342/1776	0.00000000000000000000000000000000000000000000000000021562069839969071561469021069372381931198864564478600144497237756460441896425966062382119266143850453796052017373693915656781940125112650985528262026491574943065643310546875	0.000000000000000000000000000000000000000000000000058648829964715877614560657858629987438249120853493403087084309703805203920709874823744436480414760432174927665823197479657582185941233632320290780626237392425537109375	0.0281080512476184762871156408436945639550685882568359375	0.273049640691150952154231390522909350693225860595703125	-1.1787363403305213	140.22963490659825	4E-T;LTV1;fs(1)h;CG11247;sbr;Tet;Caper;tud;aop;ps;REPTOR-BP;mamo;Mondo;lola;Cf2;tup;exd;HERC2;RanBPM;Akt1;Cdc27;CG11360;XNP;Cbp53E;brm;alphaTub84B;RpL41;RpII215;CG9609;RpL40;Asap;ab;bin3;SREBP;Atpalpha;smt3;Rbp6;Su(var)2-10;stx;Rbp1;Tgi;bsk;rn;zf30C;Atf3;schlank;fkh;CG17802;REPTOR;simj;nkd;14-3-3epsilon;bi;H;N;d4;tws;sd;par-6;Vps4;ash1;Pur-alpha;lgs;arm;B52;sima;sr;Mef2;salr;Xbp1;cg;Acf;cdc14;bip2;Trx-2;IntS6;D1;Acn;RpS10b;Jupiter;sff;Cdk12;SoxN;AGO1;Lk6;Hrb27C;Bx;CG4266;CG14641;Rcd1;elB;z;da;CkIIalpha;bru3;CG10631;acj6;lid;Mlf;Sxl;gish;rdx;swm;Yeti;ben;woc;l(3)neo38;lig;Rsf1;Hrb98DE;Dsp1;sgg;SC35;CG8677;CG13344;HmgZ;hrg;pan;chb;x16;Bgb;bab1;Psc;bab2;crol;akirin;qkr58E-1;mld;MAPk-Ak2;gpp;SCAR;scrt;snRNP-U1-70K;CG43689;Rack1;Syp;Uev1A;Ada2b;Rga;Cp190;BuGZ;CG1814;emc;CG18467;sina;Kdm2;CtBP;Gasz;TBPH;Roc1a;S6KL;lqfR;disco;psq;zfh2;CG4612;Mnt;Tlk;Spt20;kis;CG12391;Usp1;CG17168;hth;CG32772;Bacc;CG17839;grn;Moe;gro;CG42458;Ufd4;Bruce;Pdp1;Diap2;Diap1;Mapmodulin;Ranbp16;Cyp1;CG14322;CG4629;Nak;osa;CG1910;puf;jigr1;CG34404;Atxn7;RpS7;CG16779;Fmr1;Nab2;CG5098;Ets65A;CG8485;skd;lolal;CG9328;rump;Pcyt1;Doa;dnc;Gug;PPP4R2r;CenG1A;Crtc;CG1965;Mnn1;mats;tho2;pds5;CG10543;CG11638;CG31140;DOR;Tob;fru;Hr38;CG8924;Mad;Hr39;elav;hfp;wdb;Nup153;RpS3;Sirt1;Hsc70Cb;CG17059;CG14464;phyl;MESR4;Clic;Chchd2;Max;wds;toc;Jarid2;pros;CG7368;CHES-1-like;CG12071;MED31;mam;Su(z)2;FoxK;tow;su(sable);JIL-1;Roc2;Tctp;hyd;mbl;CkIIbeta;Drak;HP1b;Eip93F;CkIalpha;Lam;CycG;CG2926;thoc7;CycK;CG32264;msi;Tao;heph;Deaf1;CG2182;His2Av;Kank;usp;Ythdc1;hiw;Taf12;Utx;alc;MBD-like;mtd;tai;CG1646;Mo25;Su(var)205;Med;vvl;Cam;Eip63F-1;TfIIS;CG7879;CG13293;rno;chico;Nup358;CG9932;chinmo;Ubc4;CG15356;fl(2)d;trv;mub;trx;Top1;Snoo;Met;bol;HDAC4;Herc4;SCCRO;Wbp2;Asator;Thd1;sqd;Pdcd4;CG42724;G9a;dco;Zn72D;Saf-B;Sbf;caz;Hmt4-20;fz2;crp;Sin3A;Blimp-1;tth;Dek;PhKgamma;Pitslre;CG5316;HnRNP-K;CG6765;spen;Wee1;ewg;shep;E2f1;nsl1;Scm;Taf4;14-3-3zeta;eIF4A
cytosolic part (GO:0044445)	61/130	0.000000000000000000000000000000253015676621056646996292430083999841614649487248079502695254481782794295045756704197470465800279271206818521022796630859375	0.0000000000000000000000000000229400880136424688605643588860102953318183590805204978176157590561347588317925132173069613372717867605388164520263671875	0.0000000013321098111219537087015540039315435183464586543777841143310070037841796875	0.000000181166934312585699420327669216523869266666224575601518154144287109375	-1.5791622444824185	111.25491202651864	LTV1;RpS23;RpS7;RpS8;RpS6;RpL34b;RpL35A;RpS27;RpS26;RpS25;Pfk;RpL27A;RpL41;RpL40;RpS13;RpS12;RpS11;RpL39;RpL36;RpL35;Rack1;RpS18;RpS17;RpS15;RpL7A;RpL37a;RpLP1;RpS3;RpLP0;RpS4;RpS28b;RpS2;RpL31;RpL29;RpL28;RpL27;RpL26;RpL24;RpL13A;RpS3A;RpL37A;RpL23;RpS19a;RpL21;RpL4;RpL19;RpL17;RpL3;RpL24-like;RpL15;RpS30;RpL13;RpL8;RpL10Ab;RpL6;RpL7;RpS10b;CG7414;RpS5a;RpL12;RpL11
cytosolic large ribosomal subunit (GO:0022625)	35/61	0.0000000000000000000002524015296390187527920170428810429230343910575651815766861306954138566283063482842408120632171630859375	0.0000000000000000000137306432123626197004958964169703319530760432382035374893579360300321923205046914517879486083984375	0.000000129658123313934926121058035554389764598681722418405115604400634765625	0.000011755669847130100391825735517414841524441726505756378173828125	-1.8354450573660952	91.27855676716428	RpL29;RpL28;RpL27;RpL26;RpL24;RpL34b;RpL35A;RpL13A;RpL27A;RpL37A;RpL23;RpL21;RpL41;RpL40;RpL4;RpL19;RpL17;RpL3;RpL39;RpL24-like;RpL15;RpL36;RpL35;RpL13;RpL8;RpL10Ab;RpL6;RpL7A;RpL7;RpL37a;RpLP1;RpL12;RpLP0;RpL11;RpL31
ribosome (GO:0005840)	36/68	0.0000000000000000000026247341249461004040751650094841343324206318596474591243843110799360829332727007567882537841796875	0.00000000000000000010198966885504847800280447712005096903114261275592801491741978825444903122843243181705474853515625	0.0000003833454539982941037523363030092848902086188900284469127655029296875	0.00002085399269750719890531391598198496240001986734569072723388671875	-1.9110526107340031	90.5634595276904	RpS23;RpL26;RpS8;RpS6;RpL24;RpL34b;RpL35A;RpL13A;RpS27;RpS26;RpS25;RpL27A;tko;RpS19a;RpL21;RpS13;RpL4;RpL19;RpL36;RpL35;RpL13;RpL8;RpS17;RpL6;RpL7A;RpL7;RpS10b;RpS5a;RpLP1;RpS3;RpL12;RpLP0;RpS4;RpL11;RpS2;RpL31
large ribosomal subunit (GO:0015934)	35/63	0.00000000000000000000110293314281701651901428857661419172797824702317487181112251777570509858605873887427151203155517578125	0.000000000000000000049999635807704748360436825789000688268352942502436032901590168275873793390928767621517181396484375	0.000000233254772208702750736013481307196126834924143622629344463348388671875	0.0000158613245101917854618621406270762008716701529920101165771484375	-1.4947736053622858	72.13226420275224	RpL29;RpL28;RpL27;RpL26;RpL24;RpL34b;RpL35A;RpL13A;RpL27A;RpL37A;RpL23;RpL21;RpL41;RpL40;RpL4;RpL19;RpL17;RpL3;RpL39;RpL24-like;RpL15;RpL36;RpL35;RpL13;RpL8;RpL10Ab;RpL6;RpL7A;RpL7;RpL37a;RpLP1;RpL12;RpLP0;RpL11;RpL31
integral component of plasma membrane (GO:0005887)	114/419	0.00000000000000000000000000000179837225322233930648152388565540161954584454284404355344488652122890035036620499930837269175754045136272907257080078125	0.000000000000000000000000000122289313219119067235549766925299026434199095753730436513204515937502136796628804393805012296070344746112823486328125	0.00001748124490771080460937460243631136336261988617479801177978515625	0.000679271230699619843994285783850273219286464154720306396484375	-1.0319183442161057	70.67677964520728	CG15449;DIP-eta;DIP-delta;DIP-theta;5-HT7;Sln;CadN2;CG1688;dlg1;Oamb;Lcch3;Nlg2;Nlg4;Nlg3;kek3;NaPi-III;Sema1a;kek1;kek2;Sema1b;kek5;GABA-B-R1;scrib;GABA-B-R2;rk;sdk;DIP-gamma;mAChR-B;kug;PMCA;MsR1;mys;eag;Ca-alpha1T;Ten-m;DopEcR;DIP-zeta;GluClalpha;rdgB;FMRFaR;Rdl;sNPF-R;Atet;nAChRbeta1;CG10960;Cad87A;nAChRbeta2;Nckx30C;CadN;stan;AstC-R2;Best1;Alk;Elk;smog;GluRIA;GluRIB;tutl;dpr20;Tl;Cals;Dh31-R;drl;dpr5;dpr3;dpr2;dpr1;CG13579;nAChRalpha5;nAChRalpha7;nAChRalpha6;InR;beat-IIa;TM4SF;TyrR;DIP-beta;CG42594;dpr11;Octbeta1R;fwe;CCAP-R;nAChRalpha2;beat-Ib;dpr17;beat-Ic;dpr19;dpr9;dpr14;dpr8;dpr13;dpr7;CG13887;Pdfr;Prosap;ClC-c;Ddr;para;fz;Nmdar2;Octbeta2R;5-HT1A;5-HT1B;tkv;fz2;babo;TrissinR;wit;Ephrin;Octbeta3R;Esyt2;Dscam4;Task6;Dh44-R1;Dscam3
small ribosomal subunit (GO:0015935)	26/53	0.000000000000010131582777537921669005808257861055159362623397101277333831603755243122577667236328125	0.000000000000211983885806947274442448846982793702882312547597365437468397431075572967529296875	0.0000435256932453976724622067562275873342514387331902980804443359375	0.00147987357034352093147766549208199649001471698284149169921875	-1.8807002997978344	60.60202926714737	LTV1;RpS23;RpS7;RpS8;RpS6;RpS27;RpS26;RpS25;RpS3A;RpS19a;RpL40;RpS13;RpS12;RpS11;RpS30;Rack1;RpS18;RpS17;RpS15;RpS10b;CG7414;RpS5a;RpS3;RpS4;RpS28b;RpS2
cytosol (GO:0005829)	118/573	0.000000000000000000030486594457163599010560312282378340608718363942768905089884812209533038185327313840389251708984375	0.0000000000000000010365442115435624265443613797019839886957350798331214773717601218550043995492160320281982421875	0.05346283954848569941464830890254233963787555694580078125	0.4233497223014530685958334288443438708782196044921875	-1.0028322812057857	45.06427411211425	RpS23;eIF4G1;aop;ps;Mondo;Gdh;Gapdh2;Sema2a;CG7546;Src64B;rin;PRAS40;dnc;Akt1;Fas3;Cbp53E;Fas2;RpL41;Crtc;tral;zip;mats;hppy;Atg1;Pde11;Flo2;Rtnl1;RpS18;rudhira;Pka-R1;Ttd14;Pgi;Pka-R2;Sema1b;CG6983;wdb;stv;Pgk;wts;sty;ND-ACP;Hsc70Cb;phyl;larp;eIF1A;Clic;PyK;Vha55;Chchd2;REPTOR;Ubr3;poe;tws;CG7920;RpS3A;Atg8a;sima;fabp;Hsp60A;Roc2;Pp2A-29B;GAPcenA;Mob4;Jupiter;Lk6;CkIIbeta;bun;Sam-S;CkIIalpha;stai;CG32264;heph;Sxl;bel;lute;CG4238;sgg;pix;cpx;Rack1;Cam;Rop;Dyrk2;chico;Arf51F;dsh;Tm1;Droj2;Top1;cib;HDAC4;futsch;Hex-A;Pdcd4;CG4612;tsr;eRF1;Cse1;hth;eIF5B;tkv;eIF3b;eIF3a;Moe;eIF3c;Cyt-c-p;Mdh1;eIF4H1;Argk;eIF3l;Fim;eIF3m;CaMKI;AhcyL1;shep;Cyp1;eIF4A;eIF2beta
chromosome (GO:0005694)	55/196	0.000000000000000571319632908751285344652156933301291158230753898517040312299286597408354282379150390625	0.0000000000000155398940151180359080076249337999616135781548453831391043422627262771129608154296875	0.00161321370478780912009753034652703718165867030620574951171875	0.03768359184105950221432834723600535653531551361083984375	-1.167017578322064	40.96066315247645	Atxn7;mamo;Deaf1;Yeti;His2Av;Dsp1;lolal;usp;CG8677;Utx;Cdc27;MBD-like;EloC;XNP;RpL41;RpII215;RpS13;bab2;pds5;RpS11;akirin;RpL36;Su(var)205;RpS18;Ada2b;RpS15;Su(var)2-10;Cp190;wde;trx;RpS2;Top1;CtBP;fkh;14-3-3epsilon;Jarid2;ash1;Sbf;mam;tou;Hmt4-20;B52;su(sable);JIL-1;Sin3A;Tctp;RpL8;D1;Cdk12;RpS5a;Eip93F;RpL11;elB;CycG;Scm
