"","gene","cluster","species","pct_exp_max","n_species","n_celltype","n_gene"
"1","5-HT1B","SER","Dmel",0.637,3,3,10
"2","5-HT1B","SER","Dsec",0.781,3,3,10
"3","5-HT1B","SER","Dsim",0.766,3,3,10
"4","5-HT1B","α'β'-KC","Dmel",0.513,3,3,25
"5","5-HT1B","α'β'-KC","Dsec",0.608,3,3,25
"6","5-HT1B","α'β'-KC","Dsim",0.556,3,3,25
"7","5-HT1B","γ-KC","Dmel",0.64,3,3,19
"8","5-HT1B","γ-KC","Dsec",0.735,3,3,19
"9","5-HT1B","γ-KC","Dsim",0.689,3,3,19
"10","5-HT2A","CCHa2(2)","Dmel",0.76,3,2,9
"11","5-HT2A","CCHa2(2)","Dsec",0.741,3,2,9
"12","5-HT2A","CCHa2(2)","Dsim",0.69,3,2,9
"13","5-HT2A","Tbh","Dmel",0.6,3,2,27
"14","5-HT2A","Tbh","Dsec",0.5,3,2,27
"15","5-HT2A","Tbh","Dsim",0.786,3,2,27
"16","5-HT2B","AstA","Dmel",0.657,3,3,41
"17","5-HT2B","AstA","Dsec",0.694,3,3,41
"18","5-HT2B","AstA","Dsim",0.793,3,3,41
"19","5-HT2B","Mip(2)","Dmel",0.667,3,3,23
"20","5-HT2B","Mip(2)","Dsec",0.7,3,3,23
"21","5-HT2B","Mip(2)","Dsim",0.55,3,3,23
"22","5-HT2B","SIFa","Dmel",1,3,3,32
"23","5-HT2B","SIFa","Dsec",1,3,3,32
"24","5-HT2B","SIFa","Dsim",1,3,3,32
"25","5-HT7","AstA","Dmel",0.687,3,2,41
"26","5-HT7","AstA","Dsec",0.661,3,2,41
"27","5-HT7","AstA","Dsim",0.776,3,2,41
"28","5-HT7","SIFa","Dmel",0.735,3,2,32
"29","5-HT7","SIFa","Dsec",0.857,3,2,32
"30","5-HT7","SIFa","Dsim",0.88,3,2,32
"31","ASPP","AstA","Dmel",0.522,3,1,41
"32","ASPP","AstA","Dsec",0.645,3,1,41
"33","ASPP","AstA","Dsim",0.707,3,1,41
"34","ATP8B","Hug","Dmel",0.737,3,4,21
"35","ATP8B","Hug","Dsec",0.575,3,4,21
"36","ATP8B","Hug","Dsim",0.639,3,4,21
"37","ATP8B","IPC","Dmel",0.722,3,4,32
"38","ATP8B","IPC","Dsec",0.719,3,4,32
"39","ATP8B","IPC","Dsim",0.839,3,4,32
"40","ATP8B","PRN","Dmel",0.643,3,4,24
"41","ATP8B","PRN","Dsec",0.747,3,4,24
"42","ATP8B","PRN","Dsim",0.598,3,4,24
"43","ATP8B","Proc","Dmel",0.914,3,4,35
"44","ATP8B","Proc","Dsec",0.945,3,4,35
"45","ATP8B","Proc","Dsim",0.756,3,4,35
"46","Ac13E","FMRFa(1)","Dmel",0.813,3,1,10
"47","Ac13E","FMRFa(1)","Dsec",0.527,3,1,10
"48","Ac13E","FMRFa(1)","Dsim",0.586,3,1,10
"49","Ac3","OPN","Dmel",0.549,3,2,19
"50","Ac3","OPN","Dsec",0.938,3,2,19
"51","Ac3","OPN","Dsim",0.594,3,2,19
"52","Ac3","SER","Dmel",0.561,3,2,10
"53","Ac3","SER","Dsec",0.867,3,2,10
"54","Ac3","SER","Dsim",0.508,3,2,10
"55","Ac76E","Poxn","Dmel",0.77,3,2,30
"56","Ac76E","Poxn","Dsec",0.876,3,2,30
"57","Ac76E","Poxn","Dsim",0.837,3,2,30
"58","Ac76E","SIFa","Dmel",0.706,3,2,32
"59","Ac76E","SIFa","Dsec",0.743,3,2,32
"60","Ac76E","SIFa","Dsim",0.84,3,2,32
"61","Actbeta","OCTY","Dmel",0.53,3,3,13
"62","Actbeta","OCTY","Dsec",0.721,3,3,13
"63","Actbeta","OCTY","Dsim",0.65,3,3,13
"64","Actbeta","SER","Dmel",0.529,3,3,10
"65","Actbeta","SER","Dsec",0.543,3,3,10
"66","Actbeta","SER","Dsim",0.645,3,3,10
"67","Actbeta","Tbh","Dmel",0.533,3,3,27
"68","Actbeta","Tbh","Dsec",0.722,3,3,27
"69","Actbeta","Tbh","Dsim",0.571,3,3,27
"70","Ae2","PRN","Dmel",0.793,3,2,24
"71","Ae2","PRN","Dsec",0.748,3,2,24
"72","Ae2","PRN","Dsim",0.723,3,2,24
"73","Ae2","Poxn","Dmel",0.5,3,2,30
"74","Ae2","Poxn","Dsec",0.559,3,2,30
"75","Ae2","Poxn","Dsim",0.534,3,2,30
"76","Akap200","CTX","Dmel",0.773,3,1,75
"77","Akap200","CTX","Dsec",0.768,3,1,75
"78","Akap200","CTX","Dsim",0.73,3,1,75
"79","Amph","AST","Dmel",0.928,3,3,20
"80","Amph","AST","Dsec",0.77,3,3,20
"81","Amph","AST","Dsim",0.919,3,3,20
"82","Amph","CTX","Dmel",0.798,3,3,75
"83","Amph","CTX","Dsec",0.768,3,3,75
"84","Amph","CTX","Dsim",0.755,3,3,75
"85","Amph","ENS","Dmel",0.657,3,3,24
"86","Amph","ENS","Dsec",0.649,3,3,24
"87","Amph","ENS","Dsim",0.754,3,3,24
"88","Asator","Hug","Dmel",0.816,3,2,21
"89","Asator","Hug","Dsec",0.525,3,2,21
"90","Asator","Hug","Dsim",0.5,3,2,21
"91","Asator","Proc","Dmel",0.736,3,2,35
"92","Asator","Proc","Dsec",0.652,3,2,35
"93","Asator","Proc","Dsim",0.5,3,2,35
"94","AstA","AstA","Dmel",0.985,3,1,41
"95","AstA","AstA","Dsec",1,3,1,41
"96","AstA","AstA","Dsim",1,3,1,41
"97","AstA-R1","AstA","Dmel",1,3,4,41
"98","AstA-R1","AstA","Dsec",0.839,3,4,41
"99","AstA-R1","AstA","Dsim",0.931,3,4,41
"100","AstA-R1","Dh31(I2)","Dmel",0.612,3,4,10
"101","AstA-R1","Dh31(I2)","Dsec",0.576,3,4,10
"102","AstA-R1","Dh31(I2)","Dsim",0.55,3,4,10
"103","AstA-R1","Hug","Dmel",0.737,3,4,21
"104","AstA-R1","Hug","Dsec",0.625,3,4,21
"105","AstA-R1","Hug","Dsim",0.556,3,4,21
"106","AstA-R1","RYa","Dmel",0.881,3,4,51
"107","AstA-R1","RYa","Dsec",0.936,3,4,51
"108","AstA-R1","RYa","Dsim",0.98,3,4,51
"109","AstC","CCHa2(2)","Dmel",1,3,2,9
"110","AstC","CCHa2(2)","Dsec",1,3,2,9
"111","AstC","CCHa2(2)","Dsim",1,3,2,9
"112","AstC","FMRFa(2)","Dmel",1,3,2,18
"113","AstC","FMRFa(2)","Dsec",0.944,3,2,18
"114","AstC","FMRFa(2)","Dsim",1,3,2,18
"115","Blimp-1","Blood","Dmel",1,3,1,56
"116","Blimp-1","Blood","Dsec",0.75,3,1,56
"117","Blimp-1","Blood","Dsim",0.522,3,1,56
"118","BomBc2","Fat","Dmel",0.618,3,1,89
"119","BomBc2","Fat","Dsec",0.514,3,1,89
"120","BomBc2","Fat","Dsim",0.548,3,1,89
"121","BtbVII","α'β'-KC","Dmel",0.538,3,1,25
"122","BtbVII","α'β'-KC","Dsec",0.545,3,1,25
"123","BtbVII","α'β'-KC","Dsim",0.555,3,1,25
"124","Btk29A","Blood","Dmel",1,3,1,56
"125","Btk29A","Blood","Dsec",1,3,1,56
"126","Btk29A","Blood","Dsim",0.913,3,1,56
"127","CARPA","Proc","Dmel",0.888,3,1,35
"128","CARPA","Proc","Dsec",0.519,3,1,35
"129","CARPA","Proc","Dsim",0.55,3,1,35
"130","CARPB","Mip(2)","Dmel",0.625,3,2,23
"131","CARPB","Mip(2)","Dsec",0.55,3,2,23
"132","CARPB","Mip(2)","Dsim",0.65,3,2,23
"133","CARPB","RYa","Dmel",0.881,3,2,51
"134","CARPB","RYa","Dsec",0.851,3,2,51
"135","CARPB","RYa","Dsim",0.765,3,2,51
"136","CCHa2","CCHa2(1)","Dmel",0.903,3,2,6
"137","CCHa2","CCHa2(1)","Dsec",0.867,3,2,6
"138","CCHa2","CCHa2(1)","Dsim",0.921,3,2,6
"139","CCHa2","CCHa2(2)","Dmel",1,3,2,9
"140","CCHa2","CCHa2(2)","Dsec",0.991,3,2,9
"141","CCHa2","CCHa2(2)","Dsim",1,3,2,9
"142","CG10543","Tbh","Dmel",0.567,3,2,27
"143","CG10543","Tbh","Dsec",0.722,3,2,27
"144","CG10543","Tbh","Dsim",0.643,3,2,27
"145","CG10543","α'β'-KC","Dmel",0.549,3,2,25
"146","CG10543","α'β'-KC","Dsec",0.61,3,2,25
"147","CG10543","α'β'-KC","Dsim",0.614,3,2,25
"148","CG10804","GABA","Dmel",0.631,3,3,1
"149","CG10804","GABA","Dsec",0.571,3,3,1
"150","CG10804","GABA","Dsim",0.522,3,3,1
"151","CG10804","RYa","Dmel",0.643,3,3,51
"152","CG10804","RYa","Dsec",0.532,3,3,51
"153","CG10804","RYa","Dsim",0.588,3,3,51
"154","CG10804","sNPF(I)","Dmel",0.721,3,3,7
"155","CG10804","sNPF(I)","Dsec",0.595,3,3,7
"156","CG10804","sNPF(I)","Dsim",0.527,3,3,7
"157","CG1090","Proc","Dmel",0.548,3,1,35
"158","CG1090","Proc","Dsec",0.646,3,1,35
"159","CG1090","Proc","Dsim",0.794,3,1,35
"160","CG10960","CTX","Dmel",0.699,3,1,75
"161","CG10960","CTX","Dsec",0.516,3,1,75
"162","CG10960","CTX","Dsim",0.598,3,1,75
"163","CG11000","AstA","Dmel",0.955,3,2,41
"164","CG11000","AstA","Dsec",0.694,3,2,41
"165","CG11000","AstA","Dsim",0.655,3,2,41
"166","CG11000","FMRFa(1)","Dmel",0.667,3,2,10
"167","CG11000","FMRFa(1)","Dsec",0.545,3,2,10
"168","CG11000","FMRFa(1)","Dsim",0.586,3,2,10
"169","CG11030","FMRFa(1)","Dmel",0.547,3,4,10
"170","CG11030","FMRFa(1)","Dsec",0.6,3,4,10
"171","CG11030","FMRFa(1)","Dsim",0.542,3,4,10
"172","CG11030","FMRFa(2)","Dmel",0.885,3,4,18
"173","CG11030","FMRFa(2)","Dsec",0.583,3,4,18
"174","CG11030","FMRFa(2)","Dsim",0.526,3,4,18
"175","CG11030","fru(Glu)","Dmel",0.524,3,4,8
"176","CG11030","fru(Glu)","Dsec",0.59,3,4,8
"177","CG11030","fru(Glu)","Dsim",0.735,3,4,8
"178","CG11030","fru(Ms)","Dmel",0.5,3,4,8
"179","CG11030","fru(Ms)","Dsec",0.606,3,4,8
"180","CG11030","fru(Ms)","Dsim",0.616,3,4,8
"181","CG11319","RYa","Dmel",0.5,3,4,51
"182","CG11319","RYa","Dsec",0.574,3,4,51
"183","CG11319","RYa","Dsim",0.529,3,4,51
"184","CG11319","ort","Dmel",0.515,3,4,16
"185","CG11319","ort","Dsec",0.692,3,4,16
"186","CG11319","ort","Dsim",0.623,3,4,16
"187","CG11319","αβ-KC","Dmel",0.867,3,4,24
"188","CG11319","αβ-KC","Dsec",0.847,3,4,24
"189","CG11319","αβ-KC","Dsim",0.863,3,4,24
"190","CG11319","γ-KC","Dmel",0.555,3,4,19
"191","CG11319","γ-KC","Dsec",0.652,3,4,19
"192","CG11319","γ-KC","Dsim",0.587,3,4,19
"193","CG12065","Blood","Dmel",0.6,3,1,56
"194","CG12065","Blood","Dsec",0.5,3,1,56
"195","CG12065","Blood","Dsim",0.522,3,1,56
"196","CG12594","OCTY","Dmel",0.718,3,1,13
"197","CG12594","OCTY","Dsec",0.568,3,1,13
"198","CG12594","OCTY","Dsim",0.64,3,1,13
"199","CG13408","RYa","Dmel",0.5,3,1,51
"200","CG13408","RYa","Dsec",0.574,3,1,51
"201","CG13408","RYa","Dsim",0.686,3,1,51
"202","CG1358","AST","Dmel",0.68,3,1,20
"203","CG1358","AST","Dsec",0.748,3,1,20
"204","CG1358","AST","Dsim",0.964,3,1,20
"205","CG13743","OCTY","Dmel",0.919,3,1,13
"206","CG13743","OCTY","Dsec",0.883,3,1,13
"207","CG13743","OCTY","Dsim",0.75,3,1,13
"208","CG14274","Proc","Dmel",0.599,3,1,35
"209","CG14274","Proc","Dsec",0.801,3,1,35
"210","CG14274","Proc","Dsim",0.662,3,1,35
"211","CG14431","OPN","Dmel",0.715,3,3,19
"212","CG14431","OPN","Dsec",0.672,3,3,19
"213","CG14431","OPN","Dsim",0.629,3,3,19
"214","CG14431","RYa","Dmel",0.929,3,3,51
"215","CG14431","RYa","Dsec",0.872,3,3,51
"216","CG14431","RYa","Dsim",0.745,3,3,51
"217","CG14431","ort","Dmel",0.5,3,3,16
"218","CG14431","ort","Dsec",0.692,3,3,16
"219","CG14431","ort","Dsim",0.681,3,3,16
"220","CG14687","Poxn","Dmel",0.937,3,1,30
"221","CG14687","Poxn","Dsec",0.817,3,1,30
"222","CG14687","Poxn","Dsim",0.906,3,1,30
"223","CG15082","AstA","Dmel",1,3,1,41
"224","CG15082","AstA","Dsec",1,3,1,41
"225","CG15082","AstA","Dsim",1,3,1,41
"226","CG15201","CTX","Dmel",0.574,3,1,75
"227","CG15201","CTX","Dsec",0.523,3,1,75
"228","CG15201","CTX","Dsim",0.794,3,1,75
"229","CG15209","CTX","Dmel",0.525,3,1,75
"230","CG15209","CTX","Dsec",0.555,3,1,75
"231","CG15209","CTX","Dsim",0.667,3,1,75
"232","CG15236","Mip(1)","Dmel",0.659,3,1,5
"233","CG15236","Mip(1)","Dsec",0.686,3,1,5
"234","CG15236","Mip(1)","Dsim",0.615,3,1,5
"235","CG15312","IPC","Dmel",0.639,3,2,32
"236","CG15312","IPC","Dsec",0.625,3,2,32
"237","CG15312","IPC","Dsim",0.71,3,2,32
"238","CG15312","Proc","Dmel",0.609,3,2,35
"239","CG15312","Proc","Dsec",0.652,3,2,35
"240","CG15312","Proc","Dsim",0.7,3,2,35
"241","CG1552","AST","Dmel",0.971,3,3,20
"242","CG1552","AST","Dsec",0.902,3,3,20
"243","CG1552","AST","Dsim",0.852,3,3,20
"244","CG1552","CTX","Dmel",0.862,3,3,75
"245","CG1552","CTX","Dsec",0.626,3,3,75
"246","CG1552","CTX","Dsim",0.681,3,3,75
"247","CG1552","ENS","Dmel",0.808,3,3,24
"248","CG1552","ENS","Dsec",0.813,3,3,24
"249","CG1552","ENS","Dsim",0.728,3,3,24
"250","CG15537","Tbh","Dmel",0.867,3,1,27
"251","CG15537","Tbh","Dsec",0.833,3,1,27
"252","CG15537","Tbh","Dsim",1,3,1,27
"253","CG15628","Da5/7","Dmel",0.843,3,4,30
"254","CG15628","Da5/7","Dsec",0.746,3,4,30
"255","CG15628","Da5/7","Dsim",0.889,3,4,30
"256","CG15628","IPC","Dmel",0.556,3,4,32
"257","CG15628","IPC","Dsec",0.594,3,4,32
"258","CG15628","IPC","Dsim",0.516,3,4,32
"259","CG15628","Mip(2)","Dmel",0.542,3,4,23
"260","CG15628","Mip(2)","Dsec",0.7,3,4,23
"261","CG15628","Mip(2)","Dsim",0.5,3,4,23
"262","CG15628","Proc","Dmel",0.538,3,4,35
"263","CG15628","Proc","Dsec",0.552,3,4,35
"264","CG15628","Proc","Dsim",0.662,3,4,35
"265","CG1578","RYa","Dmel",0.905,3,1,51
"266","CG1578","RYa","Dsec",0.83,3,1,51
"267","CG1578","RYa","Dsim",0.98,3,1,51
"268","CG17574","Blood","Dmel",0.8,3,1,56
"269","CG17574","Blood","Dsec",1,3,1,56
"270","CG17574","Blood","Dsim",0.739,3,1,56
