gene,CellType,pair,avg_log2FC,p_val_adj
5-HT2A,Ach_15,melsec,1.11965919209744,9.75705726329217e-06
5-HT2A,Poxn_1,melsec,0.619263330402042,3.65404006559422e-14
5-HT2A,RYa,melsec,1.24716634522561,0.000143825862500607
5-HT2A,Ach_8,melsec,1.03813512888677,2.02145059617819e-10
5-HT2A,TY_3,melsec,0.934904971778115,8.11022732590902e-05
5-HT2A,Poxn_6,melsec,1.50216486906136,0.0016124620077054
5-HT2A,DOP_1,melsim,0.600318275736164,2.59443368358838e-06
5-HT2A,GABA_5,melsim,0.785261151206987,0.00230870981625391
5-HT2A,Ach_15,melsim,1.03962707412071,0.00600155523729334
5-HT2A,Ach_9,melsim,0.596504122603847,0.000243274419428637
5-HT2A,RYa,melsim,0.775909291191527,0.0356834846865588
5-HT2A,Ach_8,melsim,0.924478347091204,3.75217413787345e-09
5-HT2A,Tk_2,melsim,1.23274800040691,2.27018873702005e-14
5-HT2B,fru_5,melsec,-0.592575684831031,1.20583784120937e-06
7B2,Poxn_3,melsec,0.590989948984816,0.0359109904163328
7B2,Poxn_3,melsim,0.649813645071124,0.00471059214516089
7B2,Clock_1,melsim,0.601992080151012,0.0436096004272155
AMPdeam,fru_5,melsec,0.726251591184461,6.38512990068067e-06
AMPdeam,GABA_3,melsec,0.666719346146741,1.31953590893554e-07
AMPdeam,Ach_10,melsec,0.594648268683219,0.000139794765239254
AMPdeam,OPN,melsec,0.668323928561076,8.82552090171112e-25
AMPdeam,Ach_10,melsim,0.613757091630924,0.00981281510528172
ATP8B,OCTY,melsec,1.04206405956654,7.47406420722581e-06
ATP8B,fru_5,melsec,-0.689514358016897,3.21349019335116e-05
ATP8B,TY_1,melsim,0.908771729392077,5.94903815564399e-05
ATP8B,DOP_2,melsim,0.746412957059958,0.0446469595683459
ATP8B,fru_5,simsec,-0.796168633085899,3.67065316664625e-06
ATP8B,Ach_12,simsec,-0.892292831722765,2.72242005365477e-07
ATPsynbeta,GABA_6,simsec,0.720651693851476,0.00219097693219197
ATPsynbeta,Ach_7,simsec,0.637162234365171,1.50947805675598e-05
Ac3,γ-KC,melsec,-0.627920637304213,7.77272861340269e-104
Ac3,Ach_3,melsec,-0.655238924283375,1.07640646440416e-79
Ac3,Ach_2,melsec,-0.763152527611438,4.08378026717882e-247
Ac3,Glu_6,melsec,-0.644352276130818,4.75949018539813e-15
Ac3,GABA_5,melsec,-1.03544770478531,1.73357732531031e-07
Ac3,Ach_1,melsec,-0.71172989456998,2.54252611446477e-164
