"gene","cluster","p_val_adj","avg_log2FC","pct_exp_Dsim","pct_exp_Dsec"
"Ac3","Ach_2",1.16284300309634e-220,-0.737431383278146,0.514,0.836
"Ac3","Ach_1",4.05586570832612e-114,-0.604494494865678,0.506,0.75
"Ac3","Glu_1",1.48662657945402e-99,-0.648875717476721,0.543,0.825
"Ac3","Ach_3",2.90001104062243e-63,-0.59194668803723,0.42,0.687
"Ac3","Glu_3",6.71791437821849e-50,-0.639437350560487,0.43,0.709
"Ac3","GABA_1",6.83415606506727e-30,-0.691077477735438,0.482,0.784
"Ac3","α'β'-KC",6.29589575825635e-29,-0.594510962872319,0.276,0.55
"Ac3","OPN",9.05689099939921e-27,-1.0336920800758,0.512,0.913
"Ac3","fru_2",1.50555484679577e-25,-0.70832756016079,0.571,0.828
"Ac3","fru_3",8.37853199027066e-21,-0.743601224394857,0.422,0.776
"Ac3","CCHa2",9.08128829467739e-17,-0.663900651547529,0.498,0.802
"Ac3","GABA_2",4.39390409550264e-14,-0.67704125085783,0.373,0.7
"Ac3","sNPF",1.96869762879924e-13,-0.631648925660884,0.425,0.755
"Ac3","Glu_6",5.07781914325051e-13,-0.679679414412343,0.452,0.763
"Ac3","fru_5",1.08211216957951e-12,-0.964666926887719,0.438,0.823
"Ac3","Poxn_3",1.12138336098135e-12,-0.964024876049103,0.341,0.845
"Ac3","Poxn_2",2.21726282643144e-11,-0.901163984581561,0.467,0.807
"Ac3","Glu_4",4.45354196933763e-11,-0.662016876183283,0.47,0.767
"Ac3","Glu_10",1.57043463594499e-10,-0.952998257059925,0.568,0.892
"Ac3","DOP/SER",1.62495747983204e-09,-0.652901329377732,0.553,0.863
"Ac3","Glu_11",1.97977709858594e-09,-0.917537839808027,0.515,0.931
"Ac3","Poxn_1",1.80251519637933e-08,-0.797778662474522,0.341,0.738
"Ac3","DOP_2",1.15769271244093e-07,-0.98083973398713,0.37,0.915
"Ac3","Poxn_4",4.26472631882444e-07,-1.09112516970344,0.494,0.875
"Ac3","GABA_10",1.35540251453752e-05,-0.906002509990516,0.519,0.908
"Ac3","Clock_2",2.01477366750404e-05,-0.909241533743967,0.494,0.871
"Ac3","GABA_3",4.22767841210779e-05,-0.709884907451883,0.444,0.784
"Ac3","GABA_5",7.99565579140681e-05,-0.923782213027291,0.542,0.839
"Ac3","Dh31",9.04622065415321e-05,-0.71914566617948,0.473,0.782
"Ac3","GABA_6",0.00142609780555519,-0.732849485693974,0.557,0.819
"Ac3","fru_7",0.00325869051092393,-0.712356126822205,0.491,0.785
"Ac3","GABA_11",0.00381161403988579,-0.834298679440606,0.509,0.807
"Ac3","Ach_11",0.00717539939394906,-0.653013207512215,0.413,0.725
"Ac3","Clock_3",0.0136658860580574,-0.658324459983669,0.446,0.8
"Ac3","Glu_12",0.0158429750269161,-0.731319031025064,0.36,0.771
"Ac3","Ach_7",0.0229697557399444,-0.623813058142127,0.418,0.699
"Ac3","Glu_8",0.0300203943821337,-0.627467229235692,0.473,0.729
"Amph","AST",2.1472046929799e-49,0.857135534205794,0.912,0.753
"Arms","ENS",4.59163935121932e-56,-0.780377101871953,0.042,0.263
"Atg17","NPF_AstA",9.35441925366476e-06,-1.1219833422355,0.393,0.852
"B52","Ach_1",8.1996420279735e-132,-0.64167960012233,0.474,0.744
"B52","OPN",1.91069973892094e-23,-0.736476462091377,0.538,0.876
"B52","GABA_4",2.85482073195256e-20,-0.887610687721664,0.456,0.792
"B52","GABA_1",2.39150222028947e-18,-0.586150970667069,0.48,0.71
"B52","fru_5",3.68653122110116e-15,-1.06600726033631,0.562,0.887
