Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	20/64	0.000000000000000000000000101411479184498089359647663324692208935507272273542276074326133072120263711735077549747074954211711883544921875	0.00000000000000000000006885839436627420210122891241002093761684980055818555808207215296334879894857294857501983642578125	0.00000000000000000968248395338666440880249561270443647202338157960015141423326667791116051375865936279296875	0.0000000000000065744066043495448315910792411077306053265346952318992634900496341288089752197265625	-1.8114569979205053	104.25045742751688	beat-VI;Con;beat-IIIb;beat-IIIc;klg;beat-Ia;beat-Va;beat-IIa;beat-Vc;beat-IIb;caps;CadN2;beat-Ib;beat-VII;beat-Ic;CG34353;kug;Dscam2;Dscam3;ed
synaptic target attraction (GO:0016200)	5/7	0.0000000013272020440855930242774657321666413600791400995149160735309123992919921875	0.000000090117018793411762770883773922270254530531019554473459720611572265625	0.000001162386651309910134209743733102460083728146855719387531280517578125	0.0000789260536239429016068525069016459383419714868068695068359375	-4.010907172727217	81.98371606146821	NetB;Ten-m;Sema2b;Con;Ten-a
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	11/29	0.000000000000000940903083207308466901836556855283437415080776723697031371784760267473757266998291015625	0.00000000000012777463869955249079134553594721224756562867608256084395179641433060169219970703125	0.000000000054122923135162911809933823401060743428503396756923393695615231990814208984375	0.0000000073498929617551226728641133845686128633900580098270438611507415771484375	-1.977899780200504	68.43472227815586	beat-VI;beat-IIIb;beat-IIIc;beat-Ia;beat-Ib;beat-VII;beat-Ic;beat-Va;beat-IIa;beat-Vc;beat-IIb
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	9/28	0.00000000000242037842791918756162027014623301635586061220095643875538371503353118896484375	0.0000000002054296190696410352048428005154712648605563884984803735278546810150146484375	0.0000000108263187430150622383842457766185696232952295758877880871295928955078125	0.00000105015291807246092958979220843840352017650729976594448089599609375	-2.4532783721723326	65.6180751105827	Con;klg;CadN2;CG34353;kug;Dscam2;Dscam3;ed;caps
positive chemotaxis (GO:0050918)	5/9	0.000000007844233786125596066727169958059107113257368837366811931133270263671875	0.0000004842031582526617511616257201467750093115682830102741718292236328125	0.00000285533789768693751790688654945693514264348777942359447479248046875	0.00017625222113903913387193689299436982764746062457561492919921875	-3.3227832374079687	62.01472216921339	NetB;Ten-m;Sema2b;Con;Ten-a
motor neuron axon guidance (GO:0008045)	16/75	0.000000000000000007907715696746212342009325420102709436727061344924415153823105129049508832395076751708984375	0.000000000000001789779652696892709279679157638974834805024871631218275069841183722019195556640625	0.000000000003338687586947823422515972473676392449914995808057938120327889919281005859375	0.000000000755656290512524075557655828488771987405669960935483686625957489013671875	-1.561314984324994	61.48254300776789	NetB;beat-VI;side;beat-IIIc;Mmp2;beat-Ia;beat-Va;beat-IIa;beat-Vc;beat-IIb;Ptp99A;caps;Ten-m;beat-Ib;beat-Ic;Ten-a
axon guidance (GO:0007411)	28/242	0.000000000000000000000093597798568405437744188755978357201947790185264135012954930564928190950269026870955713093280792236328125	0.00000000000000000003177645261397364863558746516845897465421464023889081581923654606924856125260703265666961669921875	0.00000000000001648438332011645406140113403928013770008659082122459693664495716802775859832763671875	0.0000000000055964481371795359566304587010826553962472562631091932416893541812896728515625	-1.061556972009022	53.84539183659252	NetB;beat-IIIc;jeb;beat-Va;beat-Vc;Ptp99A;caps;Ten-m;pros;Sema2b;robo3;CadN2;sm;Ten-a;ab;beat-VI;Trim9;side;Mmp2;beat-Ia;beat-IIa;brat;beat-IIb;Cam;pdm3;beat-Ib;beat-Ic;DIP-gamma
presynaptic membrane organization (GO:0097090)	4/12	0.00000331054883926296405710176622150253678000808577053248882293701171875	0.000107041079136169169062041406359497841549455188214778900146484375	0.0001453010808912675038036266261798346022260375320911407470703125	0.0058034961132453315169055230171579751186072826385498046875	-3.9284737148257722	49.57103924792116	Ten-m;Nlg4;Ten-a;Nlg3
anterograde trans-synaptic signaling (GO:0098916)	14/89	0.00000000000008518535628166135141619702066581523516061551226652426294094766490161418914794921875	0.00000000000964014281920800963138376996693253151438085524205234833061695098876953125	0.0000000027945953494694269299230581014674423823151983015122823417186737060546875	0.00000031625504038162344974582300231868980944227587315253913402557373046875	-1.4633920595979597	44.03924286294952	nAChRbeta1;Syt1;Atpalpha;pum;kcc;nAChRalpha6;Frq1;sesB;nAChRalpha3;5-HT1A;GluClalpha;Sap47;Rdl;VAChT
chemical synaptic transmission (GO:0007268)	20/154	0.00000000000000001615366215257668520208760738961995197921418080419346530174351528330589644610881805419921875	0.000000000000002742084150399892348491482331113126544701601335074503396072032046504318714141845703125	0.0000000000204142348561114954331868231827764605633424022101962691522203385829925537109375	0.00000000346531636682492630373922991933628712235559987675515003502368927001953125	-1.098506639862647	42.47308352925032	nAChRbeta1;nwk;Syt1;Atpalpha;CASK;pum;kcc;cpx;nAChRalpha6;Frq1;Nlg4;Ten-m;sesB;nAChRalpha3;5-HT1A;GluClalpha;Sap47;Rdl;Ten-a;VAChT
modulation of chemical synaptic transmission (GO:0050804)	12/70	0.0000000000018270065639571222112603565931178187481224994836992436830769293010234832763671875	0.0000000001772196367038408290467572307234716232071658481572740129195153713226318359375	0.000000017075132599720533673402542260318093259030547415022738277912139892578125	0.000001449251879401280241349710652121185461282948381267488002777099609375	-1.5359103242139782	41.51310990169394	Tomosyn;Fife;Syt1;CASK;pum;cpx;Rdl;Syp;Frq1;mGluR;Nlg4;Nlg3
synaptic vesicle membrane organization (GO:0048499)	2/6	0.00124572997772171771384275285043941039475612342357635498046875	0.01057427124254870821895568866466419422067701816558837890625	0.008127684667559607889497641508569358848035335540771484375	0.1124675906334925701290927690934040583670139312744140625	-6.042021281195863	40.409241300681344	Ten-m;Ten-a
action potential (GO:0001508)	4/7	0.00000024273018780557253115692274703096842358718276955187320709228515625	0.000012677984424614134283918094603382797913582180626690387725830078125	0.0000282288348431058546740037018540903090979554690420627593994140625	0.0014744137583437596887570020243174440111033618450164794921875	-2.6124515835034217	39.79107390164722	para;sesB;NaCP60E;Ca-alpha1T
regulation of neurotransmitter secretion (GO:0046928)	5/19	0.000000671476330756194119295742449293751263894591829739511013031005859375	0.0000325666020416754165857885217061351568190730176866054534912109375	0.0000525513957590455424982202325967506340020918287336826324462890625	0.0025487426943137090652735654572325074695982038974761962890625	-2.730043572422543	38.80425803001714	Fife;CASK;cpx;Frq1;Ih
presynapse assembly (GO:0099054)	3/10	0.000089084196467961395912195377011499886066303588449954986572265625	0.0016802269278262719175154327189147807075642049312591552734375	0.00136458033561198265222469405699712297064252197742462158203125	0.035725265975807239671180326467947452329099178314208984375	-3.9791530974165963	37.109297705633175	Fife;Nlg4;Nlg3
postsynaptic membrane organization (GO:0001941)	4/14	0.0000065982746269892379885791018623297787826231797225773334503173828125	0.00019479254224894314967940489591313735218136571347713470458984375	0.000237655260452692752327907843579168911674059927463531494140625	0.00849304851828307227901149190074647776782512664794921875	-3.052747640118693	36.41531798912404	Ten-m;Nlg4;Ten-a;Nlg3
synaptic target recognition (GO:0008039)	9/47	0.00000000041059121111486000761049534280521487727977358872522017918527126312255859375	0.000000030976825816332212120196901682100953934195786132477223873138427734375	0.000000495543941288110214755404346609335419771014130674302577972412109375	0.0000373860373482918693054111169971065464778803288936614990234375	-1.6689090888960898	36.07083811448235	ab;NetB;Ten-m;Sema2b;Con;beat-IIIc;Pvf3;hig;Ten-a
dendrite guidance (GO:0070983)	5/25	0.0000029329245653739044536931733497819863032418652437627315521240234375	0.00009957278899444405311121297774690219739568419754505157470703125	0.00016175720543435694758795106995563628515810705721378326416015625	0.006101841249440465020370538695715367794036865234375	-2.705347046580515	34.464797072434834	ct;NetB;Toll-6;pros;Sema2b
regulation of neuromuscular synaptic transmission (GO:1900073)	5/24	0.00000236401471659370800959521462247803214040686725638806819915771484375	0.000084482420661427764900508474710250084172002971172332763671875	0.00013673019193314518596009399242774406957323662936687469482421875	0.0058024875201628488274874229091437882743775844573974609375	-2.44171809549591	31.63282231242341	Tomosyn;Syt1;jeb;CASK;Syp
ion transmembrane transport (GO:0034220)	5/31	0.000008966836910910399181177769800665799948546919040381908416748046875	0.000243539290500326458498159265531057826592586934566497802734375	0.000392930434766735410707927389495353054371662437915802001953125	0.0127047507241244451992034925069674500264227390289306640625	-2.453836039080099	28.518427416113315	nAChRbeta1;nAChRalpha3;GluClalpha;nAChRalpha6;Rdl
regulation of calcium ion-dependent exocytosis (GO:0017158)	3/11	0.000121657107161923815942528026567970300675369799137115478515625	0.00207031357990740925989481269198222435079514980316162109375	0.0017143336731803722992883987075174445635639131069183349609375	0.040139053934119754696308035590845975093543529510498046875	-3.1424651009656968	28.32713594132477	Fife;Syt1;Sytbeta
cation transport (GO:0006812)	6/37	0.000001057956959000827880750775396301310848912180517800152301788330078125	0.00004225604559773894655476389470294407146866433322429656982421875	0.00009852304510447843920346866486426051778835244476795196533203125	0.004459809841729390524067699885790716507472097873687744140625	-2.022273461577302	27.824806178187547	Cngl;Atpalpha;nAChRalpha3;GluRIA;nAChRalpha6;GluRIB
jump response (GO:0007630)	2/7	0.0017334135010616384155179847681438332074321806430816650390625	0.01279334529587883122203617602963277022354304790496826171875	0.01032925269403048122718313805989964748732745647430419921875	0.11430616580591894393403862295599537901580333709716796875	-4.268448540545877	27.137356041169568	Atpalpha;shakB
postsynapse assembly (GO:0099068)	2/7	0.0017334135010616384155179847681438332074321806430816650390625	0.01279334529587883122203617602963277022354304790496826171875	0.01032925269403048122718313805989964748732745647430419921875	0.11430616580591894393403862295599537901580333709716796875	-4.014819347312531	25.524867181616003	Nlg4;Nlg3
ion transport (GO:0006811)	9/68	0.000000012568325976451317876647593443049932826482972814119420945644378662109375	0.0000007111577781675370916360657928823041373789237695746123790740966796875	0.000007699287403616249781898063508922547271140501834452152252197265625	0.0004356513455879527929592853752183145843446254730224609375	-1.3889195495252629	25.267343891087496	nAChRbeta1;Cngl;Atpalpha;nAChRalpha3;GluClalpha;GluRIA;nAChRalpha6;Rdl;GluRIB
neuron cell-cell adhesion (GO:0007158)	2/9	0.002935565004076848456826542843600691412575542926788330078125	0.0174846371734050896884493653260506107471883296966552734375	0.01541934113171309315981627463543190970085561275482177734375	0.11955956641620317515428695287482696585357189178466796875	-4.28733221955455	24.998813960659643	Nlg4;Nlg3
presynaptic membrane assembly (GO:0097105)	2/9	0.002935565004076848456826542843600691412575542926788330078125	0.0174846371734050896884493653260506107471883296966552734375	0.01541934113171309315981627463543190970085561275482177734375	0.11955956641620317515428695287482696585357189178466796875	-4.279035774284494	24.950438588465495	Nlg4;Nlg3
regulation of synaptic vesicle endocytosis (GO:1900242)	2/8	0.00229716976721401795746846374868255225010216236114501953125	0.01544334922711206210810264138899583485908806324005126953125	0.0127627328682901157452800333658160525374114513397216796875	0.11955956641620317515428695287482696585357189178466796875	-4.061415990232361	24.677478112394382	CASK;brat
regulation of neurotransmitter transport (GO:0051588)	3/14	0.0002629449800193063568887197334333905018866062164306640625	0.003798715775172532317649487509925165795721113681793212890625	0.003080444629360295540065894925874090404249727725982666015625	0.055042681666727377720604863498010672628879547119140625	-2.9502058853816813	24.320216189583757	CASK;cpx;Frq1
potassium ion homeostasis (GO:0055075)	3/14	0.0002629449800193063568887197334333905018866062164306640625	0.003798715775172532317649487509925165795721113681793212890625	0.003080444629360295540065894925874090404249727725982666015625	0.055042681666727377720604863498010672628879547119140625	-2.914942723721571	24.0295219979168	nrv3;Atpalpha;kcc
synaptic transmission, cholinergic (GO:0007271)	2/10	0.0036471852057502322265458705174978604190982878208160400390625	0.0202969725323635490077389675889207865111529827117919921875	0.018290527980214875414244346529812901280820369720458984375	0.1254471565511706965256877310821437276899814605712890625	-4.257573198563133	23.90116265692128	nAChRbeta1;nAChRalpha6
defasciculation of motor neuron axon (GO:0007415)	3/9	0.00006278643860393724566992812441412752377800643444061279296875	0.001347527752791064133142118208752435748465359210968017578125	0.00106340688997474930831133033137803067802451550960540771484375	0.0300855532622022851796383946521018515340983867645263671875	-2.416556584804055	23.38204921927298	beat-Ia;beat-Ic;Ptp99A
regulation of secretion by cell (GO:1903530)	4/25	0.00007700271181445314354341302731654650415293872356414794921875	0.00153778945064746131420052588367752832709811627864837646484375	0.0015859393576479904018616817751308190054260194301605224609375	0.03845902942296376691988513130127103067934513092041015625	-2.4297701273393004	23.013980623652362	Tomosyn;CASK;cpx;Frq1
membrane assembly (GO:0071709)	2/9	0.002935565004076848456826542843600691412575542926788330078125	0.0174846371734050896884493653260506107471883296966552734375	0.01541934113171309315981627463543190970085561275482177734375	0.11955956641620317515428695287482696585357189178466796875	-3.8562134571590714	22.48502282338357	Nlg4;Nlg3
