Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	7/9	0.0000000000538017107654145735177427425013495405903274360071009141393005847930908203125	0.00000000408893001817150810433633127574486187949531768026645295321941375732421875	0.00000032263397254412171647318537635873436641986700124107301235198974609375	0.00002452018191335324939317090453538838801250676624476909637451171875	-3.37713241209786	79.85471340649542	Pde6;Pde8;Pka-R2;Pde1c;Pde11;dnc;Pde9
excitatory extracellular ligand-gated ion channel activity (GO:0005231)	6/12	0.0000000631061698217390350264301428391544579454830454778857529163360595703125	0.000001598689635484055642235495624248198254235830972902476787567138671875	0.000015232592037169926966013767943852741382215754128992557525634765625	0.000385892331608304818731103313922403685864992439746856689453125	-3.372144093809122	55.90491312599238	nAChRbeta1;nAChRalpha1;nAChRalpha3;nAChRalpha5;nAChRalpha7;nAChRalpha6
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	4/6	0.00000262681736238180144985009979718970640760744572617113590240478515625	0.0000374321474139406701309683300760156043907045386731624603271484375	0.00020023302498716789854515951674329699017107486724853515625	0.0028533206060671425542685231135919821099378168582916259765625	-4.255788968466344	54.68577141061884	Pde6;Pka-R2;Pde1c;Pde11
G-protein coupled amine receptor activity (GO:0008227)	10/23	0.00000000001166640425651125768797635951002205083500140592178695442271418869495391845703125	0.0000000013299700852422834507463131432035939594182849532444379292428493499755859375	0.0000000540845636981753114910079541753640253176627084030769765377044677734375	0.000006165640261591985536444686377688384482098626904189586639404296875	-2.1270794367188834	53.54775253086182	Oamb;5-HT7;Octbeta1R;Dop1R2;5-HT1A;5-HT2B;Oct-TyrR;Octbeta3R;mAChR-B;TyrR
acetylcholine receptor activity (GO:0015464)	7/14	0.00000000468869017967606598400620931759406884165031215161434374749660491943359375	0.00000021380427219322860423847171458533455989936555852182209491729736328125	0.00000285152550280391611816342180285577256881879293359816074371337890625	0.00013002956292785858142570243334290580605738796293735504150390625	-2.659163692153658	50.99774063784003	nAChRbeta1;nAChRalpha1;nAChRalpha3;nAChRalpha5;nAChRalpha7;nAChRalpha6;mAChR-B
acetylcholine-gated cation-selective channel activity (GO:0022848)	6/11	0.00000003211386080485338715136164173223620732500194208114407956600189208984375	0.000001045994323358081771837050331919183321360833360813558101654052734375	0.00001043795322776179824975605059389494044808088801801204681396484375	0.000339979047989955669890893563689360235002823173999786376953125	-2.9476198120714625	50.85816768235314	nAChRbeta1;nAChRalpha1;nAChRalpha3;nAChRalpha5;nAChRalpha7;nAChRalpha6
serotonin receptor activity (GO:0099589)	5/10	0.0000008583044786405794073346083548903262538942726678214967250823974609375	0.000014564351816930080682336613728811158807729952968657016754150390625	0.000082058346054064411367358344850941875847638584673404693603515625	0.001439177146178975859325266384303176891990005970001220703125	-3.461284345878862	48.348282115930836	Oamb;5-HT7;5-HT1A;5-HT2B;mAChR-B
G-protein coupled serotonin receptor activity (GO:0004993)	5/10	0.0000008583044786405794073346083548903262538942726678214967250823974609375	0.000014564351816930080682336613728811158807729952968657016754150390625	0.000082058346054064411367358344850941875847638584673404693603515625	0.001439177146178975859325266384303176891990005970001220703125	-3.115694633362098	43.52097893957726	Oamb;5-HT7;5-HT1A;5-HT2B;mAChR-B
extracellular ligand-gated ion channel activity (GO:0005230)	9/29	0.000000004441505232417081253970907975432702574636323333834297955036163330078125	0.00000021380427219322860423847171458533455989936555852182209491729736328125	0.00000257452083139175098893129851884697956165837240405380725860595703125	0.00013002956292785858142570243334290580605738796293735504150390625	-1.9664002413081538	37.818345288139234	nAChRbeta1;nAChRalpha1;nAChRalpha3;nAChRalpha5;GluClalpha;nAChRalpha7;nAChRalpha6;Rdl;GluRIB
voltage-gated cation channel activity (GO:0022843)	7/19	0.00000006293484128870756001155229060473050850532672484405338764190673828125	0.000001598689635484055642235495624248198254235830972902476787567138671875	0.000014030064544749590131622607458439233596436679363250732421875	0.000385892331608304818731103313922403685864992439746856689453125	-2.236477501497838	37.0834045086324	Shab;Shawl;Hk;Sh;stj;NaCP60E;Ca-alpha1T
voltage-gated potassium channel activity (GO:0005249)	6/16	0.00000050973804169563194688976313917461169467060244642198085784912109375	0.000010565479409691279737691128881582613985301577486097812652587890625	0.00005485855860854033333277868234034713168512098491191864013671875	0.00125077513627471956746128878279478158219717442989349365234375	-2.529227098813551	36.64690443350963	Shab;Shawl;Hk;Sh;slo;SLO2
