Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
integral component of plasma membrane (GO:0005887)	92/419	0.000000000000000000000000000000000000000000000000106673158941324835123072276749621870786448944095905193094093782096453450963579184302746290656967302150626450209992164756107012324459759611272602342069149017333984375	0.0000000000000000000000000000000000000000000000145075496160201781844541653665756942652445616490083641309385677167941471729526884782300222906154672706048088619294048127843221873689572021248750388622283935546875	0.000000000000000000000000457865537663344793398689871449495350407837088671140539594917335934100288685755231199436821043491363525390625	0.000000000000000000000062269713122214890432853883989271982694545172531468016111576811721928237375323078595101833343505859375	-1.0717530612288872	120.85309389772051	Alk;DIP-eta;DIP-delta;GluRIA;GluRIB;Ndae1;mGluR;tutl;DIP-theta;CG42340;dpr20;5-HT7;Dop1R2;CadN2;Tl;Dh31-R;CG1688;dlg1;drl;dpr5;Oamb;dpr3;dpr2;CG13579;Oct-TyrR;nAChRalpha5;nAChRalpha7;nAChRalpha6;Nlg2;InR;beat-IIa;TM4SF;TyrR;Nlg4;Nlg3;kek3;DIP-beta;kek1;CG42594;dpr11;kek2;nAChRalpha1;Octbeta1R;Neto;nAChRalpha3;kek5;GABA-B-R1;scrib;dpr18;beat-Ib;beat-Ic;sdk;tipE;DIP-gamma;mAChR-B;kug;dpr9;dpr8;dpr13;AstA-R1;mAChR-A;Pdfr;eag;Prosap;Ca-alpha1T;Drl-2;Ten-m;para;fz;Nmdar2;DIP-zeta;5-HT1A;GluClalpha;FMRFaR;Rdl;sNPF-R;Cirl;nAChRbeta1;TrissinR;Cad87A;Octbeta3R;Nckx30C;CadN;5-HT2B;Dscam4;stan;AstC-R2;Dh44-R1;Dscam1;Dscam2;5-HT2A;Dscam3
cytosolic ribosome (GO:0022626)	33/112	0.000000000000000000000106918023713258439977377853014999522746624136326041931300948918670545850773123675025999546051025390625	0.00000000000000000000727042561250157354230350174188796499677474935905223442649154830252911096977186389267444610595703125	0.000000000004687695076485295981633045053967270734789074548842791045899502933025360107421875	0.000000000318763265201000142906918402596096184797858086312771774828433990478515625	-1.8778120147660389	94.99847194130476	LTV1;RpL26;RpS8;RpS6;RpL23A;RpL34b;RpS27;RpS25;RpL27A;RpL23;RpL21;RpL40;sta;RpL5;RpL19;RpL17;RpL3;RpL24-like;RpS30;RpL36;RpL36A;RpS18;RpL8;RpL6;RpL7A;RpL7;RpL12;RpLP0;RpS4;RpS27A;RpS28b;RpS2;RpL31
ribosome (GO:0005840)	22/68	0.0000000000000001538555273563825632035303422492629706228335216729175005667684672516770660877227783203125	0.000000000000004813994443388721568369815149065322548241623208664652366906011593528091907501220703125	0.0000000048385319855132642170450222511395022007008037689956836402416229248046875	0.000000131608070005960794644558485740060138624585306388325989246368408203125	-1.9911750037491944	72.49971260998909	sta;RpL5;RpL19;RpL26;RpS8;RpL36;RpS6;RpL23A;RpL34b;RpL8;RpS27;RpL6;RpS25;RpL7A;RpL7;RpL27A;RpL12;RpLP0;RpS4;RpL21;RpS2;RpL31
cytosolic part (GO:0044445)	33/130	0.0000000000000000000187056439365188175722551845621852659219720835145983489915429143213287943581235595047473907470703125	0.00000000000000000084798919178885311944852507811344443592875777805550527831124352218239437206648290157318115234375	0.0000000001368516027654770280698566345094625666678478381754757720045745372772216796875	0.000000006203939325368292008098551810514609261559826336451806128025054931640625	-1.5791622444824185	71.73417399128334	LTV1;RpL26;RpS8;RpS6;RpL23A;RpL34b;RpS27;RpS25;RpL27A;RpL23;RpL21;RpL40;sta;RpL5;RpL19;RpL17;RpL3;RpL24-like;RpS30;RpL36;RpL36A;RpS18;RpL8;RpL6;RpL7A;RpL7;RpL12;RpLP0;RpS4;RpS27A;RpS28b;RpS2;RpL31
cytosolic large ribosomal subunit (GO:0022625)	21/61	0.000000000000000176985089830467691668470874985662136506020912919516507866291021855431608855724334716796875	0.000000000000004813994443388721568369815149065322548241623208664652366906011593528091907501220703125	0.00000000442185843781681347124666817019304765334908324803109280765056610107421875	0.000000131608070005960794644558485740060138624585306388325989246368408203125	-1.8354450573660952	66.57244788415919	RpL5;RpL19;RpL17;RpL3;RpL24-like;RpL26;RpL36;RpL23A;RpL34b;RpL36A;RpL8;RpL6;RpL7A;RpL7;RpL27A;RpL23;RpL12;RpLP0;RpL21;RpL31;RpL40
large ribosomal subunit (GO:0015934)	21/63	0.00000000000000037748402004179591011221183639865890155322080919998717352115136236534453928470611572265625	0.00000000000000855630445428070775604566300395982159204800142349167657584985136054456233978271484375	0.000000007088381430692284661389151773254468924534421603311784565448760986328125	0.0000001606699790956917988930439077088774268986526294611394405364990234375	-1.4947736053622858	53.08390018493939	RpL5;RpL19;RpL17;RpL3;RpL24-like;RpL26;RpL36;RpL23A;RpL34b;RpL36A;RpL8;RpL6;RpL7A;RpL7;RpL27A;RpL23;RpL12;RpLP0;RpL21;RpL31;RpL40
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	10/21	0.000000000342693676762965454354444140726743302238777033608130295760929584503173828125	0.0000000066580485771090435267623638677762787363434426879393868148326873779296875	0.0000058310705852464114992456285790911607591624488122761249542236328125	0.000113289371370501698479786589768281146461958996951580047607421875	-2.178785681619913	47.48485634344204	ATPsynD;ATPsynbeta;ATPsynC;ATPsynF;ATPsynE;ATPsynG;ATPsyngamma;blw;sun;ATPsynB
type I terminal bouton (GO:0061174)	8/19	0.0000000704665238630377622811346732291382100044074832112528383731842041015625	0.000000871222476852103310126194946061417567761964164674282073974609375	0.0001022357346827545737828757399512369374861009418964385986328125	0.00139040599168546220344711006333682234981097280979156494140625	-2.4740743297092465	40.743372937930154	Alk;jeb;Nrx-1;CASK;pum;cpx;Fas2;dlg1
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	6/10	0.0000002284423706544844322302557047821292002254267572425305843353271484375	0.00000238985864684691383220765080463987573011763743124902248382568359375	0.00018233123375247756539109522666564089377061463892459869384765625	0.0020664206491947455061886085303513027611188590526580810546875	-2.491264906428351	38.09637777156562	ATPsynD;ATPsynC;ATPsynF;ATPsynE;ATPsynG;ATPsynB
small ribosomal subunit (GO:0015935)	13/53	0.0000000113624154299341521314889314332556569109300426134723238646984100341796875	0.000000158593165762871898274120885385940482592559419572353363037109375	0.00008669022606010674879099819900574175335350446403026580810546875	0.00130998563824161304465498734117545609478838741779327392578125	-1.9894348694182917	36.392642184358586	LTV1;sta;RpS8;RpS30;RpS6;RpS18;RpS27;RpS25;RpS4;RpS27A;RpS28b;RpS2;RpL40
neurotransmitter receptor complex (GO:0098878)	7/15	0.000000202399972467798075840056588360627021216942011960782110691070556640625	0.00000229386635463504463011588478671409774278799886815249919891357421875	0.0001708411943600511378148210095417880438617430627346038818359375	0.0020664206491947455061886085303513027611188590526580810546875	-2.3451341176855274	36.14559914196652	Nmdar2;Neto;scrib;GluRIA;Prosap;GluRIB;dlg1
acetylcholine-gated channel complex (GO:0005892)	6/11	0.000000488600049812730799673825797524440162078462890349328517913818359375	0.0000047464004838950996808502776069804696135179256089031696319580078125	0.0002680852537959051823911182932391739086597226560115814208984375	0.0028045841935571617746514316849015813204459846019744873046875	-2.4038226143346564	34.93168095001917	nAChRbeta1;nAChRalpha1;nAChRalpha3;nAChRalpha5;nAChRalpha7;nAChRalpha6
mitochondrial respiratory chain complex III (GO:0005750)	5/13	0.00003865631069204750560643069068333943505422212183475494384765625	0.000276697802848340011598604615272734008613042533397674560546875	0.0029780756483169545413558498836437138379551470279693603515625	0.0253136430106941125173225515254671336151659488677978515625	-2.6851918877902916	27.283699125269365	UQCR-C1;UQCR-11;ox;UQCR-Q;Cyt-c1
smooth septate junction (GO:0005920)	3/8	0.00173868652374077441169486490935014444403350353240966796875	0.00909466797033635886149394167432546964846551418304443359375	0.0228280059199408580372647747935843653976917266845703125	0.134982991526606810328559049594332464039325714111328125	-4.174288126780435	26.526037032714374	cora;Fas3;dlg1
type Ib terminal bouton (GO:0061176)	4/9	0.00012669149950792887231003358561309823926421813666820526123046875	0.000820478282527539368694513566282466854318045079708099365234375	0.005326881548202259085422749507188200368545949459075927734375	0.04024754947530595483584647809038870036602020263671875	-2.7902080050876985	25.03864461143388	Alk;jeb;pum;dlg1
mitochondrial respiratory chain complex IV (GO:0005751)	5/15	0.000085401221925543417006800039903424703879863955080509185791015625	0.00058072830909369527359331630833594317664392292499542236328125	0.00489445957864828064265427798318341956473886966705322265625	0.03915567662918624514123422386546735651791095733642578125	-2.588986896701811	24.25401798212325	cype;COX4;COX5B;COX5A;levy
