Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
axon guidance (GO:0007411)	144/242	0.0000000000000000000000000000000000000000000000000000000000000000000002635561104990807275673900416771665001731259780136977385838132953268982099765393756330577275866283956473385229426311633576357785377003595754235600659988106374965737907912870230386914727205294184386730194091796875	0.000000000000000000000000000000000000000000000000000000000000000000618829747451841496852655923177697761016978061659272604110997805081328725160837182950558748622624213944914863346004079653728400631723197844858884786518106894539028618729137320997324422933161258697509765625	0.000000000000000000022666718937748051656941090612573321336418884017676610999857123029954664161778055131435394287109375	0.00000000000000005322145606583242372567960094369302788992946132325123631545693569933064281940460205078125	-1.0630856458451308	170.31892909302593	Nrg;Acsl;Fmr1;egh;Nedd4;ckn;lola;Vav;RhoGAP100F;Oli;tup;chic;Nrt;Sema2a;RhoGAP93B;hep;trio;Sema2b;Sdc;fra;Src64B;CadN2;Fas1;msps;Fas3;XNP;beta-Spec;Fas2;dock;ab;beat-VI;ras;Src42A;sli;Sema1a;Pka-R2;bsk;DIP-gamma;NetB;velo;mys;14-3-3epsilon;Abl;beat-Va;beat-Vb;beat-Vc;N;Drl-2;kuz;Wnt5;Hsc70-4;Ten-m;pros;robo3;Wnk;sm;robo1;Rho1;Ten-a;side;Dab;ko;Dad;chif;pdm3;SoxN;Hrb27C;CadN;stan;Pak;Lar;SelR;CkIIalpha;Alk;acj6;Ptp61F;jeb;Khc;dac;msn;dysc;haf;tutl;fend;Rac1;chb;drl;Ptp10D;Psc;Dg;Mmp2;beat-Ia;AP-1sigma;InR;beat-IIa;beat-IV;brat;vvl;beat-IIb;Cam;nvy;trn;dpr11;unc-5;pod1;dsh;beat-Ib;beat-Ic;trx;uzip;fog;bon;Cdk5alpha;Ptp4E;Mp;Smox;beat-IIIc;PlexB;Xe7;PlexA;capt;zfh1;Ptp99A;caps;not;kis;ena;mew;Toll-7;gogo;grn;babo;Moe;Trim9;Ephrin;unc-104;hts;Lim3;trol;dally;spen;Mical;Dscam1;bif
cytoplasmic translation (GO:0002181)	79/107	0.0000000000000000000000000000000000000000000000001017561398664281019359930918041665037356441480475328575732877447716182759441735517672601878490349311726957525933186035085008247502713629728532396256923675537109375	0.000000000000000000000000000000000000000000000079641138802124397284580159918987542835772511047706919921355003882410133901200790444106098575761605629054729985432888907104231890343726263381540775299072265625	0.0000000000000031053460689066969441368816338850718823192255217680024514947945135645568370819091796875	0.0000000000024304508565976415327942657416615819900886086291080800947383977472782135009765625	-1.33083746191397	150.13079002738715	RpS24;RpS23;RpS9;RpS21;RpS20;RpS7;RpS8;RpS6;RpL23A;RpL34b;RpS29;RpL35A;RpS27;RpS26;RpS25;RpL27A;RpL40;RpS13;sta;RpS12;RpS11;RpL39;RpL38;RpL36;RpL35;RpLP2;RpS18;RpS17;RpS16;RpS15;RpL7A;RpL18A;RpLP1;RpS3;RpLP0;RpS4;RpS28b;RpL32;RpS2;RpL31;RpL29;RpL28;RpL27;RpL26;RpL24;RpL13A;RpS3A;RpL37A;eRF1;RpL23;RpS19a;RpL21;CG13364;RpL4;eIF4B;RpL5;RpL19;RpL18;RpL17;RpL3;RpL24-like;eIF4H1;RpL15;RpS30;RpL14;RpL13;RpL36A;RpL8;eIF3m;RpL10Ab;RpL9;RpL6;RpL7;RpS10b;RpS5a;RpL12;RpS27A;RpL11;RpL10
axonogenesis (GO:0007409)	124/212	0.00000000000000000000000000000000000000000000000000000000002075713391077849168431929066494793843851694573121798528986235914999047138913260589696105394500565453782012928114754879068487508561350770276295019632628591210732338367961347103118896484375	0.00000000000000000000000000000000000000000000000000000002436887521125394778706724477230822711793650785720201235536177244011746273550101335679964427555128801989774767294502666459197299436966813721873459375188986086868681013584136962890625	0.0000000000000000315417630472867793164511647551695620826326334792781558302721123254741542041301727294921875	0.000000000000037030029817514676723494274776629982083640639511923353666134062223136425018310546875	-1.0867675312346907	146.84643665075353	Nrg;Acsl;Fmr1;egh;Nedd4;ckn;ssh;lola;Vav;sick;tup;chic;Nrt;Sema2a;RhoGAP93B;hep;trio;Sdc;fra;Src64B;dnc;Fas1;msps;Fas3;XNP;beta-Spec;brm;dock;fax;ras;Src42A;Ank2;sli;Sema1a;Pka-R2;bsk;NetB;velo;mys;14-3-3epsilon;Abl;N;kuz;Wnt5;Hsc70-4;Gclc;pros;robo3;Wnk;sm;robo1;Rho1;Mbs;spri;Arpc1;pdm3;sff;Sh;SoxN;Hrb27C;CadN;stan;Cul3;Pak;Lar;SelR;CkIIalpha;Alk;acj6;Ptp61F;jeb;Khc;dac;msn;ben;tutl;rut;Rac1;chb;drl;Ptp10D;Psc;Dg;beat-Ia;AP-1sigma;InR;brat;nvy;unc-5;pod1;dsh;beat-Ic;trx;uzip;fog;bon;Cdk5alpha;Smox;futsch;PlexB;Xe7;PlexA;shot;caps;tsr;not;fz;kis;ena;mew;Toll-7;gogo;Dlic;babo;Trim9;Ephrin;unc-104;hts;dally;spen;Mical;Scm;Dscam1;bif
chemical synaptic transmission (GO:0007268)	92/154	0.00000000000000000000000000000000000000000000206407420740844433718829173951332766862832244610049315037168626022791806187612494874297862604275777484421748952741169913505103750139824114739894866943359375	0.000000000000000000000000000000000000000001211611559748756902472615168786366339356813137356517638528281510024143639465019706825424112122315140396076990798868155962964010541327297687530517578125	0.0000000000001822920445917430526717820751866044380151525572397730456941644661128520965576171875	0.000000000107005430175353177118507165351446626389009253443873603828251361846923828125	-1.098506639862647	113.02715783834233	Acsl;unc-13;Ipp;pum;kcc;VGAT;alpha-Spec;scramb1;rut;5-HT7;Scamp;dnc;lap;beta-Spec;dlg1;sky;Srpk79D;brp;Rbp;Oamb;stmA;Atpalpha;cv-c;Syx1A;stj;nAChRalpha5;CASK;nAChRalpha4;nAChRalpha7;Lcch3;cpx;nAChRalpha6;Slob;SERCA;Nlg2;Nlg4;Ca-beta;Rop;Pka-R1;sesB;nAChRalpha1;shi;Pgk;Neto;nAChRalpha3;RIC-3;X11Lbeta;nAChRalpha2;scrib;Nrx-1;mAChR-B;comt;CG11155;VAChT;mAChR-A;CG1909;TBPH;Pink1;nwk;cac;Shal;Abl;Ten-m;Nmdar1;alphaSnap;5-HT1A;GluClalpha;Galphas;Rdl;Ten-a;tkv;Dys;nAChRbeta1;Ace;wit;Syt1;VGlut;wrd;pAbp;Frq2;Frq1;nAChRbeta2;Shab;CaMKII;Snap25;Cadps;Rim;5-HT2B;Sap47;X11L;5-HT2A;Chc
anterograde trans-synaptic signaling (GO:0098916)	59/89	0.000000000000000000000000000000003240997507251179676208406772453034363260709829989644568280551313004969747918878206975439038028952154490980319678783416748046875	0.00000000000000000000000000000084554023855841888708221772231413796306185574340157203497551949795370265591204863610264030882035513059236109256744384765625	0.0000000002277804546811638000719370605469372113860426765086231171153485774993896484375	0.0000000704913053048441934190525607305255473278293720795772969722747802734375	-1.4573293270879732	109.02197178408709	Acsl;unc-13;Ipp;pum;kcc;scramb1;rut;5-HT7;dnc;lap;dlg1;sky;Srpk79D;brp;Oamb;stmA;Atpalpha;nAChRalpha5;nAChRalpha4;nAChRalpha7;Lcch3;nAChRalpha6;Ca-beta;Rop;sesB;nAChRalpha1;shi;Pgk;nAChRalpha3;X11Lbeta;nAChRalpha2;scrib;Nrx-1;mAChR-B;VAChT;mAChR-A;cac;Shal;Abl;Nmdar1;alphaSnap;5-HT1A;GluClalpha;Galphas;Rdl;nAChRbeta1;Ace;Syt1;pAbp;Frq2;Frq1;nAChRbeta2;Shab;CaMKII;5-HT2B;Sap47;X11L;5-HT2A;Chc
axon development (GO:0061564)	42/66	0.000000000000000000000055962259467267941690153797035301275062554587306695914362963950594576090225018560886383056640625	0.000000000000000000005972699328597505571571945830968334693042266730122663822752891726874935329760774038732051849365234375	0.000000202946563005085374449041712811847570918644123594276607036590576171875	0.00002803050176093767394016990912586351214486057870090007781982421875	-2.0165486752631834	103.3226399226772	Cdk5alpha;Nrg;futsch;Fmr1;Khc;ckn;ssh;ben;Abl;lola;Vav;sick;shot;tutl;Ptp99A;Nrt;Hsc70-4;tsr;Gclc;pros;ena;Fas3;beta-Spec;Rac1;Fas2;brm;fax;mew;Dlic;Trim9;Con;Arpc1;p130CAS;pdm3;dally;sff;CadN;stan;Cul3;uzip;Scm;Dscam1
motor neuron axon guidance (GO:0008045)	51/75	0.00000000000000000000000000001042807536378833755823873003406276004139111317968853283054808985621359800261866157544687894187518395483493804931640625	0.00000000000000000000000000188347084262884741940152965729207090526986875000590203717090527401877030934385093274840983212925493717193603515625	0.0000000020306617266746356575469502347974781741868355311453342437744140625	0.00000052977708158133837455035404506720198014591005630791187286376953125	-1.5476559624467543	103.27980437566612	Nrg;haf;Oli;tup;Sdc;fra;fend;Rac1;Fas2;Ptp10D;beat-VI;Mmp2;beat-Ia;beat-IIa;beat-IV;vvl;beat-IIb;trn;Sema1a;unc-5;dsh;beat-Ib;beat-Ic;Cdk5alpha;Ptp4E;NetB;Mp;beat-IIIc;Abl;PlexB;beat-Va;beat-Vb;PlexA;zfh1;beat-Vc;N;Ptp99A;caps;Drl-2;Ten-m;robo1;Rho1;Ten-a;grn;side;Dab;ko;Lim3;trol;dally;Lar
imaginal disc-derived wing morphogenesis (GO:0007476)	111/240	0.00000000000000000000000000000000000000058586584450316021327671187992376065314226817231590654283389600538616555665857443107701081307677113655003886538708002262865193188190460205078125	0.000000000000000000000000000000000000229268833815570031107748919209943681269551727821440227117505942151464436669517595681928718206999372186682961682890891097486019134521484375	0.00000000016014852235746436719374764245395724449050334214916802011430263519287109375	0.0000000626714550825543873051936345948409456951821994152851402759552001953125	-1.1417177588395688	103.1376252819938	Nedd4;px;lola;Rbfox1;sca;path;Pcyt1;Su(var)3-3;RhoGEF2;Gug;Ras85D;brm;ctp;ab;Mkp3;corto;Hs6st;fru;Src42A;fry;Mad;rl;Hs3st-B;disco-r;Pka-C1;Stim;Pka-C3;bi;H;Su(dx);N;alph;sd;Gclc;S;Phm;EcR;mam;lgs;Galphas;sn;arm;tow;Rho1;Dys;Mbs;arr;salr;cg;Dad;Gprk2;svr;flw;ct;Gprk1;zld;MYPT-75D;sno;Drak;sfl;Cul3;salm;Stat92E;Su(H);pygo;RasGAP1;heph;nmo;sgg;EloC;EloB;drk;pan;ed;Dd;crol;Dg;neur;cv-c;spi;tay;Rok;Chd1;Ppcs;dsh;GEFmeso;cic;fog;PDZ-GEF;Smox;sqh;psq;zfh2;Mrtf;fz;kis;alphaSnap;hth;tkv;mew;Timp;babo;Cip4;dally;spen;unk;Axn;Zyx;step;osa;Hipk
nervous system development (GO:0007399)	113/246	0.0000000000000000000000000000000000000002662259348661075820771409556862407912446193236767216229302379429870746987812649501675301754117149922638195513879821874070330522954463958740234375	0.000000000000000000000000000000000000125019699013124104458549879173895717227598255081198749324669841886727738322643157865804372440537810262650708637011121027171611785888671875	0.000000000149719383128281845066910890772638072221401017714015324600040912628173828125	0.0000000626714550825543873051936345948409456951821994152851402759552001953125	-1.0917409108862595	99.48404831187082	Acsl;Fmr1;Vav;sick;alpha-Spec;Rbfox1;sca;exd;Nrt;trio;Pc;Doa;Ras85D;XNP;beta-Spec;dlg1;fru;raw;Sema1a;elav;Nrx-1;Atf3;phyl;mys;Abl;N;SmD3;d4;kuz;Hsc70-4;par-6;pros;S;EcR;Gfrl;mam;tou;arm;Rho1;sr;arr;cact;cnn;Acf;ct;glec;SoxN;AGO1;mbl;spin;cwo;bun;Stat92E;Lar;da;stai;e(y)3;GlcAT-P;lute;aPKC;sol;Appl;Tl;CG15765;Rac1;Calr;drl;Ptp10D;Rfx;Gs2;neur;chn;spg;InR;spi;Imp;vvl;Reph;numb;Nos;RabX1;fog;unc-119;bon;Ptp4E;TBPH;foi;futsch;Prosap;zfh1;zfh2;caps;crb;oc;loqs;inaE;hth;mnb;Ephrin;Sin3A;siz;gro;Gad1;LIMK1;Lim3;Blimp-1;Sox102F;spen;Scm;Eph;Pex19;Dscam1;puc
regulation of synaptic growth at neuromuscular junction (GO:0008582)	63/110	0.00000000000000000000000000000529905332647294478436027857315701263761082837681713768731808562223468877312899938392121157448855228722095489501953125	0.0000000000000000000000000011311070191416793766323691739209742177279877332981001694251406599724929491999902975152281214832328259944915771484375	0.0000000042505585360020214068873202679400835624079491026350297033786773681640625	0.0000009073010402302496464700177526696567298358786501921713352203369140625	-1.4218764394890626	95.84872576819029	raptor;Rab8;Acsl;PIP5K59B;Fmr1;pum;dysc;alpha-Spec;nmo;sgg;trio;Sdc;Eps-15;Src64B;hiw;beta-Spec;Synd;Fas2;dlg1;plum;stj;CASK;Src42A;Ank2;Syp;brat;Syn2;Syn1;Mad;Octbeta1R;metro;slo;TBPH;nwk;cac;futsch;simj;Abl;Arp2;Liprin-gamma;kis;Rheb;Nf1;ena;veli;caz;Galphao;tkv;mnb;wit;stau;unc-104;Dad;Cip4;SkpA;Mob4;Fak;CaMKII;Mob2;spin;Cul2;Pak;RhoGAP68F
