Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
cytosolic ribosome (GO:0022626)	76/112	0.000000000000000000000000000000000000000000149015994867369790411869973179823324667213628531239820582569029700914443849372663770899640534602676469300730510182673160812782953144051134586334228515625	0.00000000000000000000000000000000000000002138379526346756616870639672353298851855796645025776237164908950631464931260830020906386522379217231013361945335393698996995226480066776275634765625	0.000000000014098236985285812581707872563572809913867711628654433297924697399139404296875	0.0000000040461940147770283595841757438675567737362825937452726066112518310546875	-1.8778120147660389	185.17531580575525	LTV1;RpS24;RpS23;RpS9;RpS21;RpS20;RpS7;RpS8;RpS6;RpL23A;RpL34b;RpS29;RpL35A;RpS27;RpS26;RpS25;RpL27A;RpL40;RpS13;sta;RpS12;RpS11;RpL39;RpL38;RpL36;RpL35;RpLP2;Rack1;RpS18;RpS17;RpS16;RpS15;RpL7A;RpL18A;RpLP1;RpS3;RpLP0;RpS4;RpS28b;RpL32;RpS2;RpL31;RpL29;RpL28;RpL27;RpL26;RpL24;RpL13A;RpS3A;RpL37A;RpL23;RpS19a;RpL21;RpL4;RpL5;RpL19;RpL18;RpL17;RpL3;RpL24-like;RpL15;RpS30;RpL14;RpL13;RpL36A;RpL8;RpL10Ab;RpL9;RpL6;RpL7;RpS10b;RpS5a;RpL12;RpS27A;RpL11;RpL10
nucleus (GO:0005634)	462/1776	0.00000000000000000000000000000000000000000000000000000000000000002640275809870903319775149383965804241603544559330318688198907248925237913524183038177041708395259332119180485998854350289425512820764486462026314945958153687752441307612372156654600985348224639892578125	0.0000000000000000000000000000000000000000000000000000000000000075775915743294921651030694848518592558112255215893607699081922509387730891393572558479460937346643097691352513514837215576691517912624993190728923384802645339675120084166337619535624980926513671875	0.0433027980583518823376465434193960390985012054443359375	0.443853680098106828655346589584951288998126983642578125	-1.1787363403305213	175.2747316497176	4E-T;fid;sbr;Tet;Caper;Mondo;Axud1;dmpd;vih;vig;XNP;Cbp53E;RpL40;ab;bin3;SREBP;Atpalpha;Rb97D;CG10947;MED6;Rbp6;Rbp1;Tgi;flfl;zf30C;SF2;CG17698;SF1;Atf3;schlank;hang;velo;bi;Rad23;H;Xpc;N;SmD3;d4;br;Hsc70-4;par-6;ash1;CG3726;Hsc70-3;Mef2;Dif;salr;cg;Acf;chif;D1;Acn;ari-1;ct;Jupiter;sff;Cdk12;AGO1;elB;z;GATAd;salm;da;CG10631;acj6;pygo;gol;rdx;ben;woc;Hrb98DE;sgg;sgl;Hsf;HmgZ;MTA1-like;hrg;pan;chb;x16;Bgb;bab1;bab2;akirin;qkr58E-1;Rfx;gpp;scrt;chn;CG43689;Rack1;Uev1A;Ada2b;Nipped-A;Rga;Nipped-B;CG17493;ey;scro;Cp190;Pcl;BuGZ;emb;SRPK;cic;CG31224;CG4404;Kdm2;Gasz;TBPH;lqfR;disco;zfh1;luna;zfh2;CG4612;Tlk;Usp1;Cka;CG32767;CG17168;hth;CG32772;Bacc;grn;gro;CG42458;wrd;Diap2;Diap1;Sox21b;Mapmodulin;CG17272;Cyp1;Nak;Hrb87F;CG10555;jigr1;CG34404;Atxn7;RpS7;Fmr1;Nab2;skd;Oda;l(3)L1231;Eip74EF;Pcyt1;Doa;dnc;Gug;CenG1A;Srpk79D;CG10543;CG12605;Tob;fru;CG8924;Mad;Hr39;Nup153;RpS3;Smr;CG17059;MESR4;dom;Chchd2;gus;Max;Ubi-p63E;toc;Jarid2;CG5986;CHES-1-like;MED31;mam;Spt6;cnc;FoxK;tow;su(sable);upSET;JIL-1;Pabp2;CG43347;NfI;hyd;sno;mbl;pho;CkIIbeta;Drak;HP1b;Alh;CG10321;Su(H);Camta;CG32264;e(y)3;ktub;Ptp61F;CG2182;Hel25E;Kank;CG5446;usp;Ythdc1;Utx;alc;MBD-like;Chro;CG12769;Hr78;ASPP;vvl;CG7879;rno;chico;Nup358;CG9932;SCCRO4;chinmo;fl(2)d;trv;trx;onecut;Top1;Snoo;Met;bol;HDAC4;Herc4;bon;SCCRO;Wbp2;Asator;sqd;Pdcd4;G9a;Zn72D;oc;sqz;Nelf-A;kay;sra;Sin3A;mura;Moca-cyp;Blimp-1;tth;Pten;pAbp;ph-p;HnRNP-K;CG6765;shep;E2f1;nsl1;Rox8;ph-d;14-3-3zeta;LTV1;fs(1)h;CG11247;tud;ps;REPTOR-BP;Aps;mamo;lola;tup;Rbfox1;exd;HERC2;Pc;Cdc27;ssx;TER94;brm;alphaTub84B;Su(var)2-10;stx;Ref1;Sik3;rl;Sik2;bsk;rn;CG13204;simj;nkd;14-3-3epsilon;eEF1gamma;tws;sd;Vps4;Pur-alpha;lgs;rdgC;lark;arm;phtf;B52;sima;sr;Xbp1;Asx;BEAF-32;IntS6;RpS10b;wapl;Rm62;SoxN;Lk6;Hrb27C;IntS3;CG14641;Rcd1;cwo;CkIIalpha;bru3;bru2;Mlf;Sxl;gish;swm;Yeti;S6k;lig;Rsf1;Dsp1;nmo;CG8677;CG13344;Kr-h1;Df31;Psc;ctrip;crol;mld;MAPk-Ak2;Psi;snRNP-U1-70K;Hcf;Syp;Nos;CG7115;Tif-IA;sina;Eip75B;Roc1a;S6KL;Eip63E;E(Pc);psq;Mnt;not;Mrtf;kis;CG12391;Ncoa6;CG17839;Moe;Ufd4;CG7220;Bruce;Pdp1;Nap1;Ranbp16;Axn;CG14322;RpS27A;osa;Hipk;CG1910;CG16779;CG5098;gce;lolal;CG9328;rump;Su(var)3-3;PPP4R2r;Crtc;CG1965;Mnn1;mats;tho2;pds5;corto;nonA;Ssdp;wcy;elav;hfp;wdb;Sirt1;phyl;Clic;wds;CycT;Gclc;pros;CG7368;EcR;CG12071;Su(z)2;Top3beta;ZAP3;Roc2;zld;Eip93F;CkIalpha;CycG;CG2926;Stat92E;thoc7;msi;Tao;heph;Deaf1;dac;Ubc6;His2Av;Optix;Usp47;hiw;Taf12;dati;mtd;Mo25;Su(var)205;tay;Cam;Eip63F-1;TfIIS;nvy;CG13293;Ubc4;CG15356;mub;TfIIFalpha;CG42724;NFAT;dco;east;Saf-B;Sbf;caz;Hmt4-20;CG17202;l(3)mbt;Dek;PhKgamma;Pitslre;spen;Wee1;Amun;Scm;Taf4;eIF4A
cytosolic part (GO:0044445)	78/130	0.0000000000000000000000000000000000000072020860139326147491413058295350768014880106028608384221668589247194732251983893774449193284480238118339112673993440694175660610198974609375	0.00000000000000000000000000000000000068899956199955352552008435634803554321784314888836895086250072963725095544064659055353440946975994430001577484290464781224727630615234375	0.00000000056914722275890931831391339931736604584866512368535040877759456634521484375	0.0000000816726264659034840244204874436240171320378067321144044399261474609375	-1.5791622444824185	138.6922106199763	LTV1;RpS24;RpS23;RpS9;RpS21;RpS20;RpS7;RpS8;RpS6;RpL23A;RpL34b;RpS29;RpL35A;RpS27;RpS26;RpS25;Pfk;RpL27A;RpL40;RpS13;CCT2;sta;RpS12;RpS11;RpL39;RpL38;RpL36;RpL35;RpLP2;Rack1;RpS18;RpS17;RpS16;RpS15;RpL7A;RpL18A;RpLP1;RpS3;RpLP0;RpS4;RpS28b;RpL32;RpS2;RpL31;RpL29;RpL28;RpL27;RpL26;RpL24;RpL13A;RpS3A;RpL37A;RpL23;RpS19a;RpL21;RpL4;RpL5;RpL19;RpL18;RpL17;RpL3;RpL24-like;RpL15;RpS30;RpL14;RpL13;RpL36A;RpL8;RpL10Ab;RpL9;RpL6;RpL7;RpS10b;RpS5a;RpL12;RpS27A;RpL11;RpL10
ribosome (GO:0005840)	50/68	0.000000000000000000000000000000091286838465422647185309488312990949850269030153804368709200150676360408935500561863375657001284935176954604685306549072265625	0.0000000000000000000000000000043665537732627170488308223311828295038131197894278852567737098860350921901711702954873572934957337565720081329345703125	0.00000000735590704062352722934624659856077399933127480835537426173686981201171875	0.0000007037151068863174743943443394111891819875381770543754100799560546875	-1.9377600750724002	138.4942344605602	RpS24;RpS23;RpS9;RpS21;RpS8;RpS6;RpL23A;RpL34b;RpS29;RpL35A;RpS27;RpS26;RpS25;RpL27A;RpS13;sta;RpL38;RpL36;RpL35;RpLP2;RpS17;RpS16;RpL7A;RpLP1;RpS3;RpLP0;RpS4;RpS2;RpL31;RpL26;RpL24;RpL13A;tko;RpS19a;RpL21;RpL4;RpL5;RpL19;RpL18;RpL14;RpL13;RpL8;RpL9;RpL6;RpL7;RpS10b;RpS5a;RpL12;RpL11;RpL10
cytosolic large ribosomal subunit (GO:0022625)	44/61	0.000000000000000000000000001593543191094218837492352939074412286011977779058275688596458949107298637415386366456004907377064228057861328125	0.0000000000000000000000000653352708348629694673272155648255424746929023636410663704783599502949435755549956184040638618171215057373046875	0.0000000875249934399169892456903118750644043899455937207676470279693603515625	0.0000062799182793140439552172227255510961185791529715061187744140625	-1.7818710626969154	109.94828259087733	RpL29;RpL28;RpL27;RpL26;RpL24;RpL23A;RpL34b;RpL35A;RpL13A;RpL27A;RpL37A;RpL23;RpL21;RpL40;RpL4;RpL5;RpL19;RpL18;RpL17;RpL3;RpL39;RpL38;RpL24-like;RpL15;RpL36;RpL14;RpL35;RpLP2;RpL13;RpL36A;RpL8;RpL10Ab;RpL9;RpL6;RpL7A;RpL7;RpL18A;RpLP1;RpL12;RpLP0;RpL11;RpL32;RpL10;RpL31
large ribosomal subunit (GO:0015934)	44/63	0.000000000000000000000000014232371536849678968454948426674812464031665394051461427932114011494645240685219533816052717156708240509033203125	0.0000000000000000000000005105863288844822319171240542054993866777116760449405899038234188012062853001538087482913397252559661865234375	0.000000168904611720394329583118061578750346285460182116366922855377197265625	0.000009695124712750634248079224797312036798757617361843585968017578125	-1.463505461750482	87.09947157114773	RpL29;RpL28;RpL27;RpL26;RpL24;RpL23A;RpL34b;RpL35A;RpL13A;RpL27A;RpL37A;RpL23;RpL21;RpL40;RpL4;RpL5;RpL19;RpL18;RpL17;RpL3;RpL39;RpL38;RpL24-like;RpL15;RpL36;RpL14;RpL35;RpLP2;RpL13;RpL36A;RpL8;RpL10Ab;RpL9;RpL6;RpL7A;RpL7;RpL18A;RpLP1;RpL12;RpLP0;RpL11;RpL32;RpL10;RpL31
cytosol (GO:0005829)	179/573	0.00000000000000000000000000000000002452055431549933611776673777869000146982977178991158693934067412956787029175004410383993213966291602190494813839904963970184326171875	0.00000000000000000000000000000000175934977213707734373126339983734461326572615513856039296851988790358076075659698108712668263020617587244487367570400238037109375	0.0009994180444903790101751628327519938466139137744903564453125	0.0220640752899029825295773576954161399044096469879150390625	-1.0619354066636189	84.62940415899622	RpS23;RpS9;eIF4G1;eEF2;ps;Gapdh1;Mondo;Pop2;olf413;Gdh;Gapdh2;Gdi;Oda;Sema2a;mgl;vig;CG3860;Src64B;rin;PRAS40;dnc;Madm;ssx;Fas3;Cbp53E;Fas2;TER94;dock;Crtc;Pdk1;Capr;tral;mats;hppy;Atg1;Mkp3;Pde11;Flo2;RpS18;rudhira;Pka-R1;Spred;Ttd14;Pgi;Pka-R2;Sema1b;CG6983;wdb;stv;Pgk;wts;Smr;ND-ACP;rl;Tnpo;phyl;eIF4E1;eIF1A;Clic;Vha55;Chchd2;Ubr3;Rad23;kat80;poe;RhoGDI;Abl;Xpc;Tpi;Ptpmeg2;tws;Hsc70-4;EndoA;CG7920;DnaJ-1;RpS3A;Wnk;Atg8a;arg;Tango10;Atg18b;rdgC;Atg13;sima;Dif;AMPdeam;Hsp60A;CG33947;DnaJ-H;Roc2;Smurf;Pp2A-29B;GAPcenA;Mob4;CYLD;Jupiter;Lk6;CkIIbeta;bun;Sam-S;Stat92E;SelR;CkIIalpha;stai;CG32264;heph;Pax;Sxl;bel;lute;S6k;CG1640;CG4238;sgg;CG5446;Usp47;sgl;pix;Ubqn;cpx;Rack1;brat;Cam;Rop;Pkn;Nos;chico;Dark;Men;dsh;Tm1;CG11151;Droj2;Top1;HDAC4;LRP1;Eip63E;futsch;Hex-A;Pdcd4;NFAT;CG4612;tsr;St3;eRF1;CG18659;Cse1;hth;twin;eIF5B;tkv;eIF3b;eIF3a;eIF4B;Moe;eIF3c;Cyt-c-p;Mdh1;eIF4H1;CG14207;Gad1;Moca-cyp;wrd;eIF3l;Fim;pAbp;eIF3m;CaMKI;AhcyL1;Usp10;shep;Cyp1;BicD;Pfrx;step;CG10089;Mical;eIF4A;eIF2beta
integral component of plasma membrane (GO:0005887)	144/419	0.00000000000000000000000000000000143476220316623873890600607166600214638139949931704115931135495568135890069108067786866726744943179028268787078559398651123046875	0.000000000000000000000000000000082355350461742103544781971935268314661094597701720226446802734325420754231842431110355295942326847580261528491973876953125	0.00011938491121332475935860883975436763648758642375469207763671875	0.0042829336897780255488665801522074616514146327972412109375	-1.0186401052118452	77.03395402071835	CG15449;DIP-eta;DIP-delta;mGluR;DIP-theta;Nrx-IV;5-HT7;Sln;CadN2;CG1688;dlg1;Oamb;Oct-TyrR;NPFR;Lcch3;Nlg2;Nlg4;Nlg3;kek3;NaPi-III;Sema1a;kek1;kek2;Sema1b;kek5;kek6;GABA-B-R1;scrib;GABA-B-R2;sdk;tipE;DIP-gamma;mAChR-B;kug;PMCA;mAChR-A;MsR1;mys;Tsp97E;MRP;eag;Ca-alpha1T;Drl-2;wun;Ten-m;pasi2;sei;DIP-zeta;GluClalpha;FMRFaR;Rdl;sNPF-R;robo1;Atet;CG34357;Cirl;nAChRbeta1;Cad87A;nAChRbeta2;Nckx30C;CadN;stan;AstC-R2;Best1;SMSr;AstC-R1;Alk;smog;GluRIA;GluRIB;Ndae1;tutl;CG42340;dpr20;Dop1R2;Tl;Cals;Dh31-R;drl;dpr5;dpr3;dpr2;CG13579;Tsp96F;nAChRalpha5;nAChRalpha4;nAChRalpha7;nAChRalpha6;InR;beat-IIa;TM4SF;TyrR;DIP-beta;CG42594;dpr11;nAChRalpha1;Octbeta1R;fwe;Neto;nAChRalpha3;CCAP-R;nAChRalpha2;dpr18;beat-Ib;beat-Ic;dpr19;dpr9;dpr14;dpr8;dpr13;dpr7;AstA-R1;foi;CG13887;Pdfr;PlexB;Prosap;PlexA;ClC-c;Nmdar1;Ddr;para;fz;Nmdar2;5-HT1A;tkv;mew;babo;TrissinR;wit;Ephrin;Octbeta3R;Tsp66E;5-HT2B;Dscam4;Task6;Eph;Dh44-R1;Dscam1;Dscam2;5-HT2A;Oatp30B;Dscam3;Tsp42Ej
small ribosomal subunit (GO:0015935)	33/53	0.00000000000000000640891733174861126979363744681997732116247961013199944957374754039847175590693950653076171875	0.0000000000000001414891749393731879157589001954747111246103534985818495073317535570822656154632568359375	0.00003291984584010508433672692607530052555375732481479644775390625	0.00134971367944430853912096690550015409826301038265228271484375	-1.8807002997978344	74.45474573960414	LTV1;RpS24;RpS23;RpS9;RpS21;RpS20;RpS7;RpS8;RpS6;RpS29;RpS27;RpS26;RpS25;RpS3A;RpS19a;RpL40;RpS13;sta;RpS12;RpS11;RpS30;Rack1;RpS18;RpS17;RpS16;RpS15;RpS10b;RpS5a;RpS3;RpS4;RpS27A;RpS28b;RpS2
polytene chromosome (GO:0005700)	78/196	0.000000000000000000000029293052619562969449871223785517934246448105800987426477699168171631161072809845791198313236236572265625	0.000000000000000000000934122900201618991923812423744945920381450005354521002264543694248999372575781308114528656005859375	0.00015132383429374411686930967935182934525073505938053131103515625	0.0048255489380338405236425813882306101731956005096435546875	-1.1170561512630344	57.95811419403118	Su(H);e(y)3;Atxn7;Mlf;Deaf1;Set1;Yeti;woc;His2Av;Hel25E;Su(var)2-HP2;Hrb98DE;Dsp1;lolal;usp;CG8677;vig;Gug;Utx;MBD-like;Hsf;EloC;XNP;Df31;Psc;bab2;Chro;pds5;akirin;corto;Su(var)205;Ada2b;Nipped-A;MED26;Nipped-B;Chd1;Su(var)2-10;Cp190;Smr;trx;Top1;sqd;CycT;Hsp83;E(Pc);ADD1;G9a;Jarid2;east;EcR;ash1;Sbf;mam;Spt6;cnc;tou;Hmt4-20;B52;su(sable);Moe;upSET;JIL-1;Sin3A;l(3)mbt;BEAF-32;D1;wapl;Rm62;Cdk12;pho;nsl1;Eip93F;RpL11;z;CycG;Pep;Scm;Hrb87F
