Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mRNA binding (GO:0003729)	87/196	0.0000000000000000000000000000063522091156414069774963997104456290951295297840724827164913060865287904046779833555635974562392220832407474517822265625	0.0000000000000000000000000034492495497932841933701208341952689535198538330791132819730227189564358662721144099805314908735454082489013671875	0.0000000108744516519341727747395285924754404494052550944616086781024932861328125	0.000005904827247000255844807704852517105109654949046671390533447265625	-1.064802689208191	71.58535394670413	bru3;eIF4G1;Caper;msi;ps;bru2;eIF4G2;heph;Pcf11;Sxl;Fmr1;Nab2;swm;pum;Rsf1;RpS26;Edc3;Rbfox1;Hrb98DE;rump;vig;rin;Ythdc1;ssx;fne;x16;barc;tho2;Rb97D;nonA;Psi;RpL35;CG10948;snRNP-U1-70K;Su(var)205;Syp;glo;brat;clu;Imp;CG7879;CG4887;elav;hfp;CG3198;ytr;Rbp1;Ref1;SF2;bol;TBPH;CG14414;sqd;RpL13A;CG9705;CG4896;CG4612;Saf-B;CG9346;eRF1;Pur-alpha;Unr;sm;CG17168;lark;caz;B52;eIF3b;eIF3a;eIF4B;stau;eIF4H1;Pabp2;CG42458;pAbp;HnRNP-K;Rbp1-like;Rm62;NAT1;shep;Hrb27C;RpS5a;CG14641;Rox8;CG34354;CG1316;Hrb87F
hydrogen ion transmembrane transporter activity (GO:0015078)	30/58	0.00000000000020725449942616540996270380068744334397493229993347796380476211197674274444580078125	0.0000000000160770275983439755634430928555399079905863235495644403272308409214019775390625	0.00009848849184806358924605673710317432778538204729557037353515625	0.0133698127683746330329750406917810323648154735565185546875	-2.0245228333581284	59.125842934131725	ATPsynbeta;Vha55;VhaSFD;ATPsyngamma;SPoCk;sun;UQCR-C1;ATPsynD;UQCR-C2;ATPsynC;ClC-c;ATPsynE;ATPsynG;Vha100-1;VhaAC39-1;Vha13;ATPsynB;UQCR-11;UQCR-14;Vha16-1;Vha36-1;ox;RFeSP;Vha14-1;SERCA;blw;ATPsynO;UQCR-Q;Vha68-1;VhaAC45
tubulin binding (GO:0015631)	44/120	0.000000000002821850883685559845673170213505712221151167096167000636341981589794158935546875	0.0000000001915331287301573732124018819539365728055191340217788820154964923858642578125	0.00133802037828772805994059780232419143430888652801513671875	0.08040471506325068407061706921012955717742443084716796875	-2.0225762629331165	53.78764094952189	CG14535;futsch;corn;Khc;kat80;Kif3C;alpha-Spec;capu;shot;Drp1;hook;Opa1;Map205;Eb1;lva;msps;jar;beta-Spec;chb;ringer;Khc-73;cnn;Moe;stau;unc-104;apolpp;pnut;tau;CG8176;ens;awd;CG17493;Jupiter;spir;Mapmodulin;shi;pod1;Cp190;BuGZ;tacc;Girdin;nuf;bif;stai
voltage-gated cation channel activity (GO:0022843)	15/19	0.00000000003708012344933671232257059802305703723190877241222551674582064151763916015625	0.00000000223716744810998169085231534157498511916628558537922799587249755859375	0.000237341430516244795111135967857762807398103177547454833984375	0.025775279354064185854955582044567563571035861968994140625	-2.2323319996831823	53.61601613108273	Shawl;Hk;cac;Shal;stj;NaCP60E;eag;Ca-alpha1T;Shaw;Ca-beta;Shab;Sh;sei;KCNQ;Ca-alpha1D
3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)	8/9	0.0000003491019235468899559022789604034731070214547798968851566314697265625	0.00000462347181673076169862619810846382506497320719063282012939453125	0.004365439487588100575532479297180543653666973114013671875	0.09117052468308993462553502240552916191518306732177734375	-3.1388358637589056	46.66790374285214	Pde6;Pka-R1;Pde8;Pka-R2;Pde1c;Pde11;dnc;Pde9
protein kinase activity (GO:0004672)	83/228	0.0000000000000000000011322181990401988666983995784873502783634559452013125798266503230227186804768280126154422760009765625	0.00000000000000000030739724103941399926754204242725764775059858947785077810943565879142624908126890659332275390625	0.000015053933359901856703518506497285756040582782588899135589599609375	0.004087142907213354124651427667913594632409512996673583984375	-0.9652642654284498	46.554799998278625	Alk;Tao;Ack-like;gish;S6k;msn;aPKC;nmo;hep;sgg;Src64B;Doa;Madm;drl;Pdk1;hppy;Srpk79D;Mo25;Atg1;MAPk-Ak2;PKD;Src42A;Pkc53E;Slob;InR;slpr;Rok;Pkn;wts;Sik3;rl;Sik2;bsk;SRPK;CG17698;Pka-C1;S6KL;Pink1;Pka-C3;dop;Eip63E;Asator;Abl;Pkc98E;Drl-2;dco;Tlk;Ddr;Tak1;Wnk;Ire1;Pak3;par-1;tkv;mnb;babo;wit;JIL-1;LIMK1;Dsor1;wnd;Gprk2;PhKgamma;CaMKI;Pitslre;Fak;Gprk1;sff;CaMKII;Wee1;Mekk1;Lk6;CkIIbeta;Drak;Nak;CkIalpha;CycG;Pak;Slik;Eph;Hipk;mbt;CkIIalpha
protein serine/threonine kinase activity (GO:0004674)	66/172	0.00000000000000000066919876729944809913441677064063207943617833904027185180918291251828122767619788646697998046875	0.000000000000000121124976881200101802580055053397322307595702808695470320543563502724282443523406982421875	0.0000314078383453185732039625310818564685177989304065704345703125	0.005684818740502661262026240507339025498367846012115478515625	-1.060315791954213	44.372313502061964	Tao;gish;S6k;msn;aPKC;nmo;hep;sgg;Doa;Madm;alc;Pdk1;hppy;Srpk79D;Mo25;Atg1;MAPk-Ak2;PKD;Pkc53E;slpr;Rok;Pkn;wts;Sik3;rl;Sik2;bsk;SRPK;CG17698;Pka-C1;S6KL;Pink1;Pka-C3;dop;Eip63E;Asator;Pkc98E;dco;Tlk;Wnk;Pak3;par-1;mnb;babo;JIL-1;LIMK1;Dsor1;Gprk2;PhKgamma;CaMKI;Pitslre;Gprk1;sff;CaMKII;Cdk12;Mekk1;Lk6;CkIIbeta;Drak;Nak;CkIalpha;Pak;Slik;Hipk;mbt;CkIIalpha
poly-purine tract binding (GO:0070717)	8/10	0.00000155967202194381632305957008366448235392454080283641815185546875	0.0000169380381583098446585632090855000342344283126294612884521484375	0.00668181239579869294675784630044290679506957530975341796875	0.1209408043639563501425726599336485378444194793701171875	-3.2038044094799214	42.838180895996516	CG4612;shep;Hrb27C;Sxl;Pabp2;Nab2;ssx;pAbp
translation factor activity, RNA binding (GO:0008135)	29/68	0.0000000002166278756157589610896828084631352516475910618964917375706136226654052734375	0.0000000084020668899540796072628482467521682242050928834942169487476348876953125	0.00148074981700277506606322486248927816632203757762908935546875	0.08040471506325068407061706921012955717742443084716796875	-1.8858194690237422	41.964839089121604	eIF4E1;eIF1;eEF5;eIF4G1;eEF2;eIF3f1;eIF1A;eIF4G2;eEF1alpha2;eEF1alpha1;eEF1gamma;mEFTs;eRF1;CG2017;eIF5B;eEF1delta;eIF3b;eIF3a;eIF4B;eEF1beta;eIF3c;eIF4H1;mxt;eIF3j;eIF3i;eIF3l;NAT1;eIF4A;eIF2beta
acetylcholine receptor activity (GO:0015464)	11/14	0.00000001922315665173094883822567228472133482597428155713714659214019775390625	0.00000040146823314961175065159848344975568323889092425815761089324951171875	0.0016611815414655875002003515561455060378648340702056884765625	0.0820019615468921825307546669137082062661647796630859375	-2.318016172236578	41.184541519080184	nAChRbeta1;nAChRalpha1;nAChRalpha3;nAChRalpha2;nAChRalpha5;nAChRalpha4;nAChRalpha7;nAChRalpha6;mAChR-B;nAChRbeta2;mAChR-A
excitatory extracellular ligand-gated ion channel activity (GO:0005231)	9/12	0.0000008137608199997217619151121566212214730740015511400997638702392578125	0.000009605915766518455763188326368418046286024036817252635955810546875	0.005424199388746337412159359558927462785504758358001708984375	0.1051907238603307648272533469935297034680843353271484375	-2.9015029083507655	40.68371128518142	nAChRbeta1;nAChRalpha1;nAChRalpha3;nAChRalpha2;nAChRalpha5;nAChRalpha4;nAChRalpha7;nAChRalpha6;nAChRbeta2
microtubule binding (GO:0008017)	44/111	0.00000000000011599803044036290673297485445649077548369541845740826602195738814771175384521484375	0.000000000010497821754852842870007607075269581882459579702526752953417599201202392578125	0.0003680666397910631825428351415752104003331623971462249755859375	0.0302312844233740309063396267674761475063860416412353515625	-1.3184708934090918	39.2709234509438	CG14535;futsch;corn;Khc;kat80;Kif3C;alpha-Spec;capu;shot;Drp1;Kank;hook;Opa1;Map205;Eb1;lva;msps;jar;beta-Spec;chb;Khc-73;cnn;Moe;stau;unc-104;apolpp;pnut;tau;CG8176;ens;awd;CG17493;Jupiter;spir;Mapmodulin;shi;pod1;Cp190;BuGZ;tacc;Girdin;nuf;bif;stai
