CellType Dmel Dsim Dsec DsecNoni
Ach_2 5.14456550091294 5.35264771843105 5.65319958344845 5.92799051521518
Ach_1 4.57071771102951 5.11465055608952 6.40341742290609 6.54782952347276
γ-KC 3.73001063424226 3.44409355119227 3.8467260323465 3.72527403956154
ENS 3.69389433977407 2.78960135475308 2.87123031475145 2.64159577344676
αβ-KC_1 3.54942916190132 4.0093368117534 4.07200391048392 3.48399442560892
Glu_1 3.47117719055358 3.50130440752437 3.10075871889146 3.29887472180045
Ach_3 3.07590441220731 3.49901597327109 2.89248294476441 3.0471951244878
Ach_4 2.23519733542005 2.35022197812257 2.7840945316983 2.81631549389521
Glu_2 2.20710688416702 3.17863517781134 3.6108218392026 3.62127420596127
Glu_3 2.08069985352836 2.36852945214884 2.03600195524196 2.07375668198931
AST 1.84594393948514 2.2609730422445 1.90211038616029 1.82415708134867
GABA_1 1.63125263347981 1.17625520618793 1.42817673687119 1.4435176903717
α'β'-KC 1.39047733702522 1.58817337177903 1.5365651499373 1.64319737088421
PRN 1.12562451092518 0.881047187514303 0.493061016300767 0.432639307777108
fru_1 0.959088264210759 1.21515858849375 0.947867298578199 1.06703829273873
fru_2 0.844719998394831 0.739164263810701 0.830977833506896 0.755038791937933
Ach_5 0.69022251650314 0.860451279234748 0.72258942044078 0.727998835201864
Glu_6 0.66815144766147 0.57439699757426 0.701336790427815 0.613599018241571
OPN 0.650093300427376 0.425648771110806 0.752343102458929 0.852798635522183
CCHa2 0.642067457212223 0.61558881413337 0.563194695343549 0.599039041537534
fru_3 0.628022231585706 0.70941461851801 0.656706267400591 0.736318821889885
DOP_1 0.622002849174341 0.757471737836972 0.726839946443372 0.736318821889885
GABA_4 0.613977005959189 0.551512655041421 0.616326270375959 0.599039041537534
Glu_4 0.593912397921307 0.439379376630509 0.469683123286507 0.461759261185182
sNPF 0.561809025060695 0.542358918028285 0.707712579431705 0.73423882521788
CTX 0.559802564256907 0.501167101469175 0.359169447219093 0.318239490816815
GABA_2 0.539737956219025 0.592704471600531 0.614201007374663 0.534559144705368
Ach_6 0.505628122554626 0.503455535722459 0.516438909315028 0.551199118081411
fru_4 0.459479524067497 0.478282758936336 0.36129471022039 0.426399317761092
Tk_1 0.411324464776581 0.192228477275848 0.38467260323465 0.438879297793124
Poxn_2 0.391259856738699 0.384456954551696 0.27203366416594 0.268319570688687
