"gene","cluster","species","percent_expressed","n_high_expression_celltype","n_gene_per_cluster"
"cnc","AST","Dmel",0.315,16,47
"cnc","AST","Dsec",0.359,16,47
"cnc","AST","Dsim",0.331,16,47
"pnt","AST","Dmel",0.713,5,47
"pnt","AST","Dsec",0.961,5,47
"pnt","AST","Dsim",0.85,5,47
"bi","Ach_1","Dmel",0.432,18,9
"bi","Ach_1","Dsec",0.421,18,9
"bi","Ach_1","Dsim",0.446,18,9
"rn","Ach_10","Dmel",0.354,17,22
"rn","Ach_10","Dsec",0.42,17,22
"rn","Ach_10","Dsim",0.314,17,22
"CG12769","Ach_11","Dmel",0.349,4,49
"CG12769","Ach_11","Dsec",0.384,4,49
"CG12769","Ach_11","Dsim",0.348,4,49
"Sox102F","Ach_11","Dmel",0.632,7,49
"Sox102F","Ach_11","Dsec",0.628,7,49
"Sox102F","Ach_11","Dsim",0.774,7,49
"acj6","Ach_11","Dmel",0.934,7,49
"acj6","Ach_11","Dsec",0.95,7,49
"acj6","Ach_11","Dsim",0.925,7,49
"bi","Ach_11","Dmel",0.953,18,49
"bi","Ach_11","Dsec",0.95,18,49
"bi","Ach_11","Dsim",0.87,18,49
"da","Ach_11","Dmel",0.302,12,49
"da","Ach_11","Dsec",0.384,12,49
"da","Ach_11","Dsim",0.359,12,49
"fkh","Ach_11","Dmel",0.538,16,49
"fkh","Ach_11","Dsec",0.575,16,49
"fkh","Ach_11","Dsim",0.62,16,49
"rn","Ach_11","Dmel",0.66,17,49
"rn","Ach_11","Dsec",0.588,17,49
"rn","Ach_11","Dsim",0.598,17,49
"salm","Ach_11","Dmel",0.453,12,49
"salm","Ach_11","Dsec",0.64,12,49
"salm","Ach_11","Dsim",0.667,12,49
"salr","Ach_11","Dmel",0.613,15,49
"salr","Ach_11","Dsec",0.628,15,49
"salr","Ach_11","Dsim",0.71,15,49
"sr","Ach_11","Dmel",0.396,14,49
"sr","Ach_11","Dsec",0.488,14,49
"sr","Ach_11","Dsim",0.398,14,49
"Camta","Ach_12","Dmel",0.755,2,71
"Camta","Ach_12","Dsec",0.931,2,71
"Camta","Ach_12","Dsim",0.81,2,71
"Lim3","Ach_12","Dmel",0.632,6,71
"Lim3","Ach_12","Dsec",0.69,6,71
"Lim3","Ach_12","Dsim",0.679,6,71
"acj6","Ach_12","Dmel",0.934,7,71
"acj6","Ach_12","Dsec",0.874,7,71
"acj6","Ach_12","Dsim",0.869,7,71
"bi","Ach_12","Dmel",0.943,18,71
"bi","Ach_12","Dsec",0.862,18,71
"bi","Ach_12","Dsim",0.857,18,71
"ewg","Ach_12","Dmel",0.453,2,71
"ewg","Ach_12","Dsec",0.552,2,71
"ewg","Ach_12","Dsim",0.512,2,71
"fkh","Ach_12","Dmel",0.566,16,71
"fkh","Ach_12","Dsec",0.644,16,71
"fkh","Ach_12","Dsim",0.69,16,71
"kn","Ach_12","Dmel",0.623,3,71
"kn","Ach_12","Dsec",0.69,3,71
"kn","Ach_12","Dsim",0.667,3,71
"Hr3","Ach_13","Dmel",0.354,5,77
"Hr3","Ach_13","Dsec",0.457,5,77
"Hr3","Ach_13","Dsim",0.573,5,77
"RunxA","Ach_13","Dmel",0.756,4,77
"RunxA","Ach_13","Dsec",0.577,4,77
"RunxA","Ach_13","Dsim",0.618,4,77
"dac","Ach_13","Dmel",0.451,19,77
"dac","Ach_13","Dsec",0.617,19,77
"dac","Ach_13","Dsim",0.506,19,77
"fuss","Ach_13","Dmel",0.963,1,77
"fuss","Ach_13","Dsec",0.654,1,77
"fuss","Ach_13","Dsim",0.944,1,77
"salr","Ach_13","Dmel",0.451,15,77
"salr","Ach_13","Dsec",0.423,15,77
"salr","Ach_13","Dsim",0.483,15,77
"sv","Ach_13","Dmel",0.793,4,77
"sv","Ach_13","Dsec",0.704,4,77
"sv","Ach_13","Dsim",0.596,4,77
"zld","Ach_13","Dmel",0.585,19,77
"zld","Ach_13","Dsec",0.513,19,77
"zld","Ach_13","Dsim",0.584,19,77
"da","Ach_14","Dmel",0.3,12,43
"da","Ach_14","Dsec",0.321,12,43
"da","Ach_14","Dsim",0.37,12,43
"fkh","Ach_14","Dmel",0.567,16,43
"fkh","Ach_14","Dsec",0.577,16,43
