gene,cluster,species,percent_expressed,n_high_expression_celltype,n_gene_per_cluster
Amph,AST,Dmel,0.936,5,47
Amph,AST,Dsec,0.753,5,47
Amph,AST,Dsim,0.912,5,47
CAH1,AST,Dmel,0.577,2,47
CAH1,AST,Dsec,0.474,2,47
CAH1,AST,Dsim,0.553,2,47
CG15209,AST,Dmel,0.487,2,47
CG15209,AST,Dsec,0.525,2,47
CG15209,AST,Dsim,0.462,2,47
CG1537,AST,Dmel,0.499,1,47
CG1537,AST,Dsec,0.373,1,47
CG1537,AST,Dsim,0.519,1,47
CG1552,AST,Dmel,0.985,3,47
CG1552,AST,Dsec,0.895,3,47
CG1552,AST,Dsim,0.832,3,47
CG31705,AST,Dmel,0.675,1,47
CG31705,AST,Dsec,0.58,1,47
CG31705,AST,Dsim,0.509,1,47
CG42788,AST,Dmel,0.695,14,47
CG42788,AST,Dsec,0.888,14,47
CG42788,AST,Dsim,0.686,14,47
CG43693,AST,Dmel,0.684,1,47
CG43693,AST,Dsec,0.688,1,47
CG43693,AST,Dsim,0.899,1,47
CG4829,AST,Dmel,0.625,4,47
CG4829,AST,Dsec,0.689,4,47
CG4829,AST,Dsim,0.471,4,47
CG5758,AST,Dmel,0.578,5,47
CG5758,AST,Dsec,0.689,5,47
CG5758,AST,Dsim,0.719,5,47
CG7029,AST,Dmel,0.629,9,47
CG7029,AST,Dsec,0.752,9,47
CG7029,AST,Dsim,0.769,9,47
CG7607,AST,Dmel,0.548,2,47
CG7607,AST,Dsec,0.371,2,47
CG7607,AST,Dsim,0.463,2,47
CG8369,AST,Dmel,0.475,2,47
CG8369,AST,Dsec,0.459,2,47
CG8369,AST,Dsim,0.558,2,47
CG9328,AST,Dmel,0.303,12,47
CG9328,AST,Dsec,0.544,12,47
CG9328,AST,Dsim,0.499,12,47
CG9394,AST,Dmel,0.845,1,47
CG9394,AST,Dsec,0.653,1,47
CG9394,AST,Dsim,0.81,1,47
Eaat1,AST,Dmel,0.953,1,47
Eaat1,AST,Dsec,0.867,1,47
Eaat1,AST,Dsim,0.897,1,47
Efa6,AST,Dmel,0.552,13,47
Efa6,AST,Dsec,0.451,13,47
Efa6,AST,Dsim,0.529,13,47
Galphai,AST,Dmel,0.35,2,47
Galphai,AST,Dsec,0.322,2,47
Galphai,AST,Dsim,0.421,2,47
Gat,AST,Dmel,0.857,2,47
Gat,AST,Dsec,0.846,2,47
Gat,AST,Dsim,0.892,2,47
Gs2,AST,Dmel,0.938,3,47
Gs2,AST,Dsec,0.99,3,47
Gs2,AST,Dsim,0.984,3,47
HisT,AST,Dmel,0.678,4,47
HisT,AST,Dsec,0.769,4,47
HisT,AST,Dsim,0.981,4,47
IP3K2,AST,Dmel,0.361,3,47
IP3K2,AST,Dsec,0.636,3,47
IP3K2,AST,Dsim,0.541,3,47
Inx2,AST,Dmel,0.382,1,47
Inx2,AST,Dsec,0.344,1,47
Inx2,AST,Dsim,0.454,1,47
Msr-110,AST,Dmel,0.776,4,47
Msr-110,AST,Dsec,0.582,4,47
Msr-110,AST,Dsim,0.55,4,47
N,AST,Dmel,0.534,4,47
N,AST,Dsec,0.495,4,47
N,AST,Dsim,0.356,4,47
Pdk,AST,Dmel,0.396,1,47
Pdk,AST,Dsec,0.306,1,47
Pdk,AST,Dsim,0.349,1,47
Pkn,AST,Dmel,0.41,10,47
Pkn,AST,Dsec,0.368,10,47
Pkn,AST,Dsim,0.366,10,47
Rh50,AST,Dmel,0.705,1,47
Rh50,AST,Dsec,0.456,1,47
Rh50,AST,Dsim,0.44,1,47
RhoGAP18B,AST,Dmel,0.5,5,47
RhoGAP18B,AST,Dsec,0.388,5,47
RhoGAP18B,AST,Dsim,0.434,5,47
RpL22,AST,Dmel,0.392,1,47
RpL22,AST,Dsec,0.359,1,47
RpL22,AST,Dsim,0.687,1,47
S,AST,Dmel,0.589,4,47
S,AST,Dsec,0.34,4,47
S,AST,Dsim,0.484,4,47
Treh,AST,Dmel,0.684,3,47
Treh,AST,Dsec,0.78,3,47
Treh,AST,Dsim,0.632,3,47
Tsp5D,AST,Dmel,0.753,1,47
Tsp5D,AST,Dsec,0.458,1,47
Tsp5D,AST,Dsim,0.65,1,47
alrm,AST,Dmel,0.805,1,47
