gene,pair,correlation,value,percent_expressed
5-HT1A,melsec,rho,0.872520830431513,37.5890366981681
5-HT1A,melsec,r,0.905288689303702,37.5890366981681
5-HT1A,melsim,rho,0.905113422157107,37.5890366981681
5-HT1A,melsim,r,0.952434180557951,37.5890366981681
5-HT1A,simsec,rho,0.863838083057215,37.5890366981681
5-HT1A,simsec,r,0.891955677749035,37.5890366981681
5-HT2B,melsec,rho,0.736003473186176,10.6643391721343
5-HT2B,melsec,r,0.977259253807854,10.6643391721343
5-HT2B,melsim,rho,0.862066262296112,10.6643391721343
5-HT2B,melsim,r,0.9733119457582,10.6643391721343
5-HT2B,simsec,rho,0.829885220878343,10.6643391721343
5-HT2B,simsec,r,0.977429301257966,10.6643391721343
5-HT7,melsec,rho,0.780256867516354,16.6275406809928
5-HT7,melsec,r,0.871740282412214,16.6275406809928
5-HT7,melsim,rho,0.82334644458301,16.6275406809928
5-HT7,melsim,r,0.905639084684608,16.6275406809928
5-HT7,simsec,rho,0.838705095183313,16.6275406809928
5-HT7,simsec,r,0.917097531640293,16.6275406809928
7B2,melsec,rho,0.834283587060875,50.7754971006641
7B2,melsec,r,0.849173892909813,50.7754971006641
7B2,melsim,rho,0.792305883735967,50.7754971006641
7B2,melsim,r,0.796811921845769,50.7754971006641
7B2,simsec,rho,0.857795019494896,50.7754971006641
7B2,simsec,r,0.790113192227953,50.7754971006641
ATP8B,melsec,rho,0.787047311648066,22.1031722145308
ATP8B,melsec,r,0.735068214810488,22.1031722145308
ATP8B,melsim,rho,0.807419450601873,22.1031722145308
ATP8B,melsim,r,0.814252560509154,22.1031722145308
ATP8B,simsec,rho,0.822611364817187,22.1031722145308
ATP8B,simsec,r,0.827826919569145,22.1031722145308
ATPsynC,melsec,rho,0.874411291451011,53.5062902546199
ATPsynC,melsec,r,0.869307297406674,53.5062902546199
ATPsynC,melsim,rho,0.868038666796624,53.5062902546199
ATPsynC,melsim,r,0.870643510091217,53.5062902546199
ATPsynC,simsec,rho,0.799564056721608,53.5062902546199
ATPsynC,simsec,r,0.80884483229483,53.5062902546199
ATPsynF,melsec,rho,0.719696895489496,26.2023716366701
ATPsynF,melsec,r,0.704155776964627,26.2023716366701
ATPsynF,melsim,rho,0.85040704567181,26.2023716366701
ATPsynF,melsim,r,0.840896411016767,26.2023716366701
