SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	NAME	SYMBOL
FBgn0000152	FBgn0000152	CG9703	Abnormal X segregation	Axs
FBgn0040238	FBgn0040238	CG6264	Bestrophin 1	Best1
FBgn0035696	FBgn0035696	CG10173	Bestrophin 2	Best2
FBgn0036492	FBgn0036492	CG12327	Bestrophin 3	Best3
FBgn0036491	FBgn0036491	CG7259	Bestrophin 4	Best4
FBgn0001991	FBgn0001991	CG4894	Ca[2+]-channel protein alpha[[1]] subunit D	Ca-alpha1D
FBgn0264386	FBgn0264386	CG15899	Ca[2+]-channel protein alpha[[1]] subunit T	Ca-alpha1T
FBgn0287724	FBgn0287724	CG42403	Ca2+-channel-protein-beta-subunit	Ca-beta
FBgn0261999	FBgn0261999	CG42817	Ca[2+] channel Muscle-specific alpha2/delta subunit	CG42817
FBgn0263111	FBgn0263111	CG43368	cacophony	cac
FBgn0030349	FBgn0030349	CG10353	-	CG10353
FBgn0038621	FBgn0038621	CG10864	-	CG10864
FBgn0039927	FBgn0039927	CG11155	-	CG11155
FBgn0033558	FBgn0033558	CG12344	-	CG12344
FBgn0028879	FBgn0028879	CG15270	-	CG15270
FBgn0027589	FBgn0027589	CG1688	-	CG1688
FBgn0085425	FBgn0085425	CG34396	-	CG34396
FBgn0261444	FBgn0261444	CG3638	-	CG3638
FBgn0259145	FBgn0259145	CG42260	-	CG42260
FBgn0260971	FBgn0260971	CG42594	-	CG42594
FBgn0261361	FBgn0261361	CG42638	-	CG42638
FBgn0262685	FBgn0262685	CG43155	-	CG43155
FBgn0029733	FBgn0029733	CG6927	-	CG6927
FBgn0036235	FBgn0036235	CG6938	-	CG6938
FBgn0030707	FBgn0030707	CG8916	-	CG8916
FBgn0051116	FBgn0051116	CG31116	Chloride channel-a	ClC-a
FBgn0033755	FBgn0033755	CG8594	Chloride channel-b	ClC-b
FBgn0036566	FBgn0036566	CG5284	Chloride channel-c	ClC-c
FBgn0030529	FBgn0030529	CG10997	Chloride intracellular channel	Clic
FBgn0026255	FBgn0026255	CG8681	clumsy	clumsy
