# note: the following genes were excluded from the list
# due to a lack of ID match between the FlyBase IDs used
# in the DamID analyses and the IDs extracted subsequently
# from FlyBase using "neuron projection guidance":
# limb, diva, alf, roam, and rambl
SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	NAME	SYMBOL
FBgn0000017	FBgn0000017	CG4032	Abl tyrosine kinase	Abl
FBgn0000028	FBgn0000028	CG9151	abnormal chemosensory jump 6	acj6
FBgn0000212	FBgn0000212	CG5942	brahma	brm
FBgn0000229	FBgn0000229	CG5680	basket	bsk
FBgn0000239	FBgn0000239	CG9242	burgundy	bur
FBgn0000253	FBgn0000253	CG8472	Calmodulin	Cam
FBgn0000307	FBgn0000307	CG5813	chiffon	chif
FBgn0000308	FBgn0000308	CG9553	chickadee	chic
FBgn0000320	FBgn0000320	CG9554	eyes absent	eya
FBgn0000411	FBgn0000411	CG5893	Dichaete	D
FBgn0000414	FBgn0000414	CG9695	Disabled	Dab
FBgn0000464	FBgn0000464	CG10443	Leukocyte-antigen-related-like	Lar
FBgn0000499	FBgn0000499	CG18361	dishevelled	dsh
FBgn0000504	FBgn0000504	CG11094	doublesex	dsx
FBgn0000577	FBgn0000577	CG9015	engrailed	en
FBgn0000578	FBgn0000578	CG15112	enabled	ena
FBgn0000581	FBgn0000581	CG7776	Enhancer of Polycomb	E(Pc)
FBgn0000606	FBgn0000606	CG2328	even skipped	eve
FBgn0000629	FBgn0000629	CG6502	Enhancer of zeste	E(z)
FBgn0000635	FBgn0000635	CG3665	Fasciclin 2	Fas2
FBgn0000636	FBgn0000636	CG5803	Fasciclin 3	Fas3
FBgn0000719	FBgn0000719	CG9559	folded gastrulation	fog
FBgn0000721	FBgn0000721	CG10033	foraging	for
FBgn0000723	FBgn0000723	CG8874	FER tyrosine kinase	FER
FBgn0001085	FBgn0001085	CG17697	frizzled	fz
FBgn0001114	FBgn0001114	CG9280	Glutactin	Glt
FBgn0001138	FBgn0001138	CG9656	grain	grn
FBgn0001150	FBgn0001150	CG7952	giant	gt
FBgn0001250	FBgn0001250	CG9623	inflated	if
FBgn0001308	FBgn0001308	CG7765	Kinesin heavy chain	Khc
FBgn0001325	FBgn0001325	CG3340	Kruppel	Kr
FBgn0001404	FBgn0001404	CG9659	egghead	egh
FBgn0001965	FBgn0001965	CG7793	Son of sevenless	Sos
FBgn0002023	FBgn0002023	CG10699	Lim3	Lim3
FBgn0002306	FBgn0002306	CG2507	stranded at second	sas
FBgn0002526	FBgn0002526	CG10236	Laminin A	LanA
FBgn0002543	FBgn0002543	CG5481	roundabout 2	robo2
FBgn0002565	FBgn0002565	CG6806	Larval serum protein 2	Lsp2
FBgn0002573	FBgn0002573	CG32120	senseless	sens
FBgn0002873	FBgn0002873	CG12047	mushroom body defect	mud
FBgn0003053	FBgn0003053	CG12212	pebbled	peb
FBgn0003090	FBgn0003090	CG11084	prickle	pk
FBgn0003169	FBgn0003169	CG7904	punt	put
FBgn0003204	FBgn0003204	CG1799	raspberry	ras
FBgn0003300	FBgn0003300	CG1849	runt	run
FBgn0003312	FBgn0003312	CG14728	shadow	sad
FBgn0003435	FBgn0003435	CG9218	smooth	sm
FBgn0003444	FBgn0003444	CG11561	smoothened	smo
FBgn0003495	FBgn0003495	CG6134	spatzle	spz
FBgn0003888	FBgn0003888	CG3401	beta-Tubulin at 60D	betaTub60D
FBgn0003892	FBgn0003892	CG2411	patched	ptc
FBgn0003896	FBgn0003896	CG10619	tailup	tup
FBgn0004055	FBgn0004055	CG3533	unzipped	uzip
FBgn0004103	FBgn0004103	CG5650	Protein phosphatase 1 at 87B	Pp1-87B
FBgn0004108	FBgn0004108	CG9704	Neurotactin	Nrt
FBgn0004198	FBgn0004198	CG11387	cut	ct
